time (s)	coil I (A)	last det (V)	int current (uC)
5474.698220	1.099980	0.474983	489.491302
5474.699091	1.558378	0.474983	1846.838257
5474.700082	1.548852	0.474983	3381.750977
5474.701022	1.507013	0.474983	4798.343262
5474.701938	1.466071	0.474983	6141.263672
5474.702821	1.428084	0.474983	7402.261719
5474.703859	1.386914	0.474983	8841.878906
5474.704755	1.351901	0.474983	10053.181641
5474.705636	1.319117	0.474983	11215.324219
5474.706601	1.284928	0.474983	12455.279297
5474.707571	1.148181	0.474983	13569.014648
5474.708502	0.184014	0.474983	13740.331055
5474.709372	0.089868	0.474983	13818.516602
5474.710396	0.089982	0.474983	13910.658203
5474.711273	0.089857	0.474983	13989.462891
5474.712176	0.089941	0.474983	14070.679687
5474.713055	0.090011	0.474983	14149.799805
5474.714011	0.089982	0.474983	14235.822266
5474.714936	0.089956	0.474983	14319.031250
5474.715855	0.089919	0.474983	14401.666992
5474.716722	0.089963	0.474983	14479.665039
5475.720222	1.139385	0.489666	578.807434
5475.721101	1.561879	0.489666	1951.698730
5475.721967	1.550980	0.489666	3294.847656
5475.723056	1.502527	0.489666	4931.099609
5475.724040	1.459343	0.489666	6367.093262
5475.724920	1.422155	0.489666	7618.589355
5475.725803	1.385127	0.489666	8841.656250
5475.726915	1.344163	0.489666	10336.365234
5475.727816	1.310339	0.489666	11516.980469
5475.728696	1.278618	0.489666	12642.164062
5475.729580	1.010680	0.489666	13535.605469
5475.730640	0.116396	0.489666	13658.985352
5475.731522	0.089817	0.489666	13738.204102
5475.732393	0.089971	0.489666	13816.568359
5475.733397	0.089967	0.489666	13906.895508
5475.734317	0.089993	0.489666	13989.688477
5475.735237	0.089956	0.489666	14072.448242
5475.736100	0.089908	0.489666	14150.039062
5475.737124	0.089897	0.489666	14242.093750
5475.738021	0.089927	0.489666	14322.757812
5475.738895	0.090004	0.489666	14401.420898
5476.729873	1.131431	0.509176	575.898193
5476.730796	1.563197	0.509176	2018.729004
5476.731662	1.549072	0.509176	3360.225586
5476.732718	1.502626	0.509176	4946.998047
5476.733729	1.457600	0.509176	6420.631836
5476.734628	1.420133	0.509176	7697.331543
5476.735589	1.381556	0.509176	9025.006836
5476.736667	1.340230	0.509176	10469.774414
5476.737592	1.305967	0.509176	11677.793945
5476.738460	1.273975	0.509176	12783.603516
5476.739527	0.765124	0.509176	13599.991211
5476.740512	0.095533	0.509176	13694.091797
5476.741404	0.089890	0.509176	13774.273437
