time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5468.453723	269.776855	0.700267	0.010192	187
5470.480871	269.775970	0.698973	0.010374	189
5472.507822	269.781250	0.697776	0.010717	191
5474.534290	269.776001	0.703616	0.010831	193
5476.566267	269.736786	0.724088	0.010636	195
5478.598806	269.689148	0.746556	0.010298	197
5480.630791	269.659149	0.769236	0.010033	199
5482.661659	269.584900	0.792141	0.009878	201
5484.693406	269.572021	0.814942	0.009732	203
5486.724766	269.503601	0.838066	0.009587	205
5488.755973	269.479309	0.861270	0.009467	207
5490.787154	269.464935	0.884719	0.009428	209
5492.817963	269.439819	0.906676	0.009447	211
5494.849419	269.428833	0.928250	0.009387	213
5496.880557	269.463135	0.949179	0.009369	215
5498.911698	269.472931	0.968012	0.009639	217
5500.942952	269.498657	0.986177	0.009308	219
5502.971454	269.547943	1.003909	0.009346	221
5505.001069	269.576233	1.024831	0.009214	223
5507.029935	269.551117	1.048886	0.008928	225
5509.059447	269.512543	1.067923	0.009025	227
5511.090100	269.493835	1.087448	0.008979	229
5513.120127	269.492035	1.106103	0.009267	231
5515.149869	269.510284	1.122660	0.009041	233
5517.179210	269.524963	1.137998	0.008765	235
5519.208548	269.539520	1.152835	0.008744	237
5521.237675	269.557556	1.165712	0.008859	239
5523.266805	269.561523	1.179361	0.008736	241
5525.295594	269.539612	1.192381	0.008358	243
5527.324250	269.551117	1.205558	0.008259	245
5529.353373	269.549286	1.217921	0.008223	247
5531.382453	269.496063	1.230197	0.008349	249
5533.411154	269.476440	1.241768	0.008219	251
5535.440133	269.408508	1.252597	0.008157	253
5537.469237	269.374634	1.263246	0.007932	255
5539.498182	269.313568	1.273365	0.008015	1
5541.526945	269.254486	1.283559	0.007937	3
5543.555956	269.248779	1.293170	0.008113	5
5545.584829	269.211212	1.303407	0.008160	7
5547.613211	269.199554	1.311567	0.008129	9
5549.641944	269.204102	1.320023	0.008273	11
5551.670372	269.191528	1.329311	0.008390	13
5553.698332	269.188660	1.335499	0.008261	15
5555.726120	269.222107	1.341984	0.008127	17
5557.754001	269.249634	1.347414	0.007968	19
5559.781512	269.237274	1.353731	0.008152	21
5561.808824	269.224457	1.359553	0.008047	23
5563.835863	269.209625	1.365620	0.008008	25
5565.862713	269.205658	1.369678	0.007961	27
5567.890076	269.193024	1.372885	0.008210	29
5569.917532	269.192047	1.377617	0.008323	31
5571.945153	269.191742	1.382156	0.008361	33
5573.972935	269.201202	1.385931	0.008308	35
5576.000543	269.278381	1.389868	0.008119	37
5578.028153	269.274323	1.395025	0.008073	39
5580.055636	269.332336	1.399022	0.008259	41
5582.083177	269.333435	1.402876	0.008270	43
5584.110846	269.357971	1.406381	0.008331	45
5586.138262	269.392853	1.410174	0.008563	47
5588.165751	269.382965	1.413016	0.008573	49
5590.193275	269.385101	1.416881	0.008297	51
5592.220735	269.401978	1.421135	0.008256	53
5594.248360	269.432861	1.424352	0.008389	55
5596.275823	269.413147	1.425588	0.008412	57
5598.303477	269.424103	1.427910	0.008577	59
5600.330936	269.402222	1.431997	0.008538	61
5602.358308	269.353790	1.436027	0.008516	63
5604.385788	269.319519	1.440365	0.008398	65
5606.413430	269.303955	1.447172	0.008544	67
5608.440833	269.240448	1.452586	0.008740	69
5610.468578	269.193207	1.456644	0.008854	71
5612.496383	269.152191	1.461272	0.008911	73
5614.524359	269.138763	1.465495	0.008875	75
5616.552172	269.120239	1.469797	0.009011	77
5618.579855	269.126740	1.472889	0.009349	79
5620.607618	269.119385	1.476468	0.009240	81
5622.635067	269.126221	1.480323	0.009080	83
5624.662110	269.131439	1.484600	0.009008	85
5626.689638	269.134216	1.486565	0.008861	87
5628.716928	269.160614	1.488451	0.008397	89
5630.743999	269.158813	1.490439	0.008475	91
5632.770869	269.156097	1.493005	0.008298	93
5634.797780	269.130463	1.493928	0.008459	95
5636.824694	269.134033	1.495120	0.008487	97
5638.851684	269.116272	1.497677	0.008374	99
5640.878676	269.139130	1.498389	0.008252	101
5642.906102	269.173889	1.498271	0.008192	103
5644.933401	269.191803	1.498503	0.008267	105
5646.960396	269.224884	1.499981	0.008195	107
5648.987613	269.243744	1.501738	0.008159	109
5651.014937	269.258759	1.502899	0.008142	111
5653.042168	269.268768	1.505447	0.008193	113
5655.069043	269.277069	1.508219	0.007828	115
5657.096160	269.300507	1.511143	0.007718	117
5659.123491	269.315063	1.512695	0.007690	119
5661.150707	269.331604	1.513881	0.007568	121
5663.177739	269.334534	1.516610	0.007278	123
5665.205193	269.356110	1.518036	0.007245	125
5667.232540	269.348450	1.519710	0.007240	127
5669.259649	269.346588	1.521723	0.007105	129
5671.287081	269.325317	1.522950	0.007266	131
5673.314606	269.314301	1.526076	0.007312	133
5675.342232	269.282593	1.526678	0.007333	135
5677.369691	269.248169	1.528402	0.007131	137
5679.397318	269.239990	1.530519	0.007296	139
5681.425278	269.200836	1.532922	0.007272	141
5683.453011	269.193573	1.536600	0.007145	143
5685.480689	269.164032	1.538867	0.007114	145
5687.508450	269.173645	1.541300	0.007173	147
5689.536149	269.171021	1.542513	0.007137	149
5691.563613	269.145386	1.544544	0.007126	151
5693.590925	269.160278	1.545774	0.007167	153
5695.618344	269.147858	1.548269	0.007157	155
5697.645829	269.160553	1.549496	0.007216	157
5699.672865	269.173340	1.551981	0.007072	159
5701.699948	269.140656	1.551800	0.007185	161
5703.727113	269.158600	1.551291	0.007157	163
5705.754029	269.160645	1.553921	0.007001	165
5707.780804	269.175690	1.554568	0.007244	167
5709.807759	269.178406	1.554616	0.007621	169
5711.834809	269.173950	1.557229	0.007395	171
5713.861578	269.176178	1.558365	0.007232	173
5715.888507	269.236633	1.559750	0.007416	175
5717.915575	269.237122	1.560835	0.007449	177
5719.942810	269.265961	1.561945	0.007361	179
5721.969691	269.299713	1.564142	0.007701	181
5723.996810	269.298096	1.564152	0.007751	183
5726.024135	269.333221	1.564175	0.007773	185
5728.051141	269.323212	1.563878	0.007446	187
5730.078373	269.361572	1.566652	0.007245	189
5732.105640	269.357178	1.565452	0.007242	191
5734.132896	269.398682	1.567481	0.007359	193
5736.160218	269.408997	1.568607	0.007539	195
