crossing time (s)	slope (V/s)	crossing number
3182.025043	2.863588	2057
3183.095562	2.402421	2058
3184.050362	2.874690	2059
3185.116847	2.318116	2060
3186.076290	2.266899	2061
3187.142399	2.474829	2062
3188.107528	2.951978	2063
3189.184977	3.563015	2064
3190.140572	3.271081	2065
3191.218253	4.231863	2066
3192.175508	3.655482	2067
3193.249570	3.766383	2068
3194.210521	4.174563	2069
3195.280402	3.517365	2070
3196.247080	4.492183	2071
3197.306103	3.694319	2072
3198.289648	3.921584	2073
3199.327627	3.896108	2074
3200.322749	2.815114	2075
3201.351296	3.767224	2076
3202.368682	4.188512	2077
3203.374035	4.226212	2078
3204.408341	4.106076	2079
3205.399751	3.899151	2080
3206.441486	3.741624	2081
3207.431876	3.512065	2082
3208.470493	4.002282	2083
3209.465250	3.780627	2084
3210.492962	4.470685	2085
3211.508726	4.946242	2086
3212.509963	4.812393	2087
3213.548547	5.421091	2088
3214.533253	5.403887	2089
3215.585352	4.332209	2090
3216.555463	5.727445	2091
3217.618051	4.481178	2092
3218.585907	4.960230	2093
3219.646025	4.335591	2094
3220.620942	4.529826	2095
3221.671841	4.667925	2096
3222.652495	5.214023	2097
3223.702076	4.650046	2098
3224.683839	5.675970	2099
3225.729311	5.002607	2100
3226.715199	5.876800	2101
3227.762428	5.177410	2102
3228.741422	5.952561	2103
3229.792794	5.625476	2104
3230.767096	6.038675	2105
3231.821125	5.655005	2106
3232.795510	6.187992	2107
3233.848674	5.688303	2108
3234.824581	6.076626	2109
3235.877761	5.758499	2110
3236.857508	6.212098	2111
3237.898363	5.824269	2112
3238.894406	5.775230	2113
3239.916300	6.157740	2114
3240.931516	5.839356	2115
3241.938582	5.883260	2116
3242.968079	6.402611	2117
3243.959963	6.297671	2118
3244.997066	6.120609	2119
3245.989836	6.384107	2120
3247.025463	5.999889	2121
3248.020604	5.746790	2122
3249.049352	6.021127	2123
3250.054393	5.334610	2124
3251.073733	6.349948	2125
3252.089168	6.202304	2126
3253.093748	6.435104	2127
3254.121594	6.710896	2128
3255.120726	6.510446	2129
3256.151816	6.861234	2130
3257.142721	6.566062	2131
3258.178955	6.815210	2132
3259.171310	6.373322	2133
3260.207332	6.859308	2134
3261.201998	6.094232	2135
3262.236897	6.879404	2136
3263.232167	6.146531	2137
3264.261257	6.852868	2138
3265.258740	6.551742	2139
3266.287778	6.917760	2140
3267.291638	7.103511	2141
3268.315193	6.821222	2142
3269.321837	7.490588	2143
3270.336774	6.696184	2144
3271.353002	7.365345	2145
3272.359188	6.368036	2146
3273.383163	7.017311	2147
3274.386011	6.183436	2148
3275.414958	6.517575	2149
3276.408252	6.135582	2150
3277.446028	6.217315	2151
3278.437534	6.104030	2152
3279.471207	6.458839	2153
3280.469387	6.370793	2154
3281.496640	7.018210	2155
3282.501825	7.676104	2156
3283.516431	7.419321	2157
3284.537437	8.257563	2158
3285.535512	7.692852	2159
3286.568611	7.855919	2160
3287.555115	8.246029	2161
3288.602113	6.856252	2162
3289.580700	7.985687	2163
3290.632631	6.522204	2164
3291.604528	7.456726	2165
3292.661898	6.496386	2166
3293.635394	7.006837	2167
3294.687184	6.446823	2168
3295.666141	7.011420	2169
3296.716825	6.688849	2170
3297.694443	7.025423	2171
3298.744807	6.819920	2172
3299.719399	7.227947	2173
3300.770290	7.250630	2174
3301.748986	7.412043	2175
3302.799684	7.719941	2176
3303.776711	7.412567	2177
3304.824610	7.917110	2178
3305.804615	7.772053	2179
3306.846836	8.048487	2180
3307.836121	8.144414	2181
3308.867599	8.153468	2182
3309.869039	7.820073	2183
3310.889984	7.865183	2184
3311.903308	7.532700	2185
3312.911449	7.758410	2186
3313.935601	7.792390	2187
3314.932840	7.698821	2188
3315.966509	7.983743	2189
3316.960258	7.675422	2190
3317.995080	7.857798	2191
3318.985318	7.829479	2192
3320.018615	7.748576	2193
3321.015791	7.680707	2194
3322.046511	7.858894	2195
3323.046184	7.640144	2196
3324.068354	7.738277	2197
3325.073581	7.901062	2198
3326.095041	8.167391	2199
3327.100407	8.124694	2200
3328.118862	8.064734	2201
3329.128823	8.077865	2202
3330.145897	8.050262	2203
3331.153939	8.050941	2204
3332.172475	8.328400	2205
3333.179700	8.088479	2206
3334.199250	8.339547	2207
3335.203642	7.748376	2208
3336.228858	7.950055	2209
3337.229660	7.880250	2210
3338.257117	7.746593	2211
3339.251025	7.628250	2212
3340.284733	7.728857	2213
3341.279366	7.459723	2214
3342.312888	7.524942	2215
3343.303397	7.636790	2216
3344.338561	7.593271	2217
3345.332760	7.602151	2218
3346.363107	7.730156	2219
3347.363937	7.665425	2220
3348.382302	7.566543	2221
3349.396573	7.726310	2222
3350.402398	7.680368	2223
3351.428590	7.734584	2224
3352.423850	7.525924	2225
3353.460163	7.397134	2226
3354.446892	7.594258	2227
3355.488353	7.369408	2228
3356.469078	7.352238	2229
3357.517343	7.534767	2230
3358.496092	7.433779	2231
3359.545932	7.551390	2232
3360.520159	7.565048	2233
3361.571454	7.595960	2234
3362.549286	7.494835	2235
3363.598138	7.749621	2236
3364.573284	7.550287	2237
3365.621922	7.548275	2238
3366.600506	7.717650	2239
3367.650162	7.539752	2240
3368.628469	7.447424	2241
3369.672605	7.656844	2242
3370.656204	7.375901	2243
3371.696449	7.391912	2244
3372.687364	7.441763	2245
3373.718906	7.494113	2246
3374.720030	7.270928	2247
3375.737803	7.428505	2248
3376.754890	7.344430	2249
3377.757690	7.428107	2250
3378.784839	7.323665	2251
3379.781179	7.415063	2252
3380.812911	7.333466	2253
3381.805394	7.239180	2254
3382.841091	7.248794	2255
3383.832005	7.244423	2256
3384.867562	7.208431	2257
3385.857999	7.237726	2258
3386.890298	7.403773	2259
3387.887025	7.076023	2260
3388.917567	7.082354	2261
3389.911546	7.168730	2262
3390.943503	7.366525	2263
3391.942273	6.999038	2264
3392.969622	7.161266	2265
3393.965263	7.052871	2266
3394.994656	7.225537	2267
3395.994997	7.262235	2268
3397.023922	7.253459	2269
3398.017058	7.126195	2270
3399.049671	7.434004	2271
3400.044843	7.123774	2272
3401.078386	7.269172	2273
3402.068380	7.123131	2274
3403.103768	7.090254	2275
3404.095723	7.039930	2276
3405.133101	7.094295	2277
3406.121325	7.016048	2278
3407.155873	6.912025	2279
3408.152711	6.975277	2280
3409.179987	6.942549	2281
3410.182950	6.906546	2282
3411.200121	6.939197	2283
3412.213081	6.880913	2284
3413.221677	7.088829	2285
3414.243656	7.010691	2286
3415.240927	7.127628	2287
3416.275387	6.948274	2288
3417.262320	6.923404	2289
3418.307945	6.998027	2290
3419.288290	6.907601	2291
