time (s)	coil I (A)	last det (V)	int current (uC)
3186.282710	1.080297	0.490392	468.848755
3186.283681	1.555591	0.490392	1979.327515
3186.284622	1.546183	0.490392	3434.285645
3186.285551	1.505035	0.490392	4832.463379
3186.286431	1.465459	0.490392	6122.067383
3186.287389	1.424183	0.490392	7486.435059
3186.288355	1.385522	0.490392	8824.849609
3186.289287	1.349923	0.490392	10082.977539
3186.290153	1.317330	0.490392	11223.785156
3186.291124	1.283090	0.490392	12469.665039
3186.292076	1.142384	0.490392	13557.214844
3186.292980	0.192784	0.490392	13731.492187
3186.293920	0.089930	0.490392	13816.026367
3186.294869	0.090048	0.490392	13901.481445
3186.295755	0.090077	0.490392	13981.290039
3186.296632	0.089919	0.490392	14060.149414
3186.297656	0.089956	0.490392	14152.264648
3186.298591	0.090029	0.490392	14236.442383
3186.299482	0.090029	0.490392	14316.658203
3186.300371	0.090007	0.490392	14396.674805
3186.301311	0.089938	0.490392	14481.215820
3187.386565	1.056277	0.359468	447.861420
3187.387483	1.555012	0.359468	1875.362671
3187.388428	1.548413	0.359468	3338.613037
3187.389363	1.506932	0.359468	4747.594727
3187.390260	1.467048	0.359468	6063.537109
3187.391178	1.427893	0.359468	7374.342773
3187.392145	1.389078	0.359468	8717.582031
3187.393050	1.353944	0.359468	9942.901367
3187.393955	1.320472	0.359468	11137.928711
3187.394926	1.285701	0.359468	12386.343750
3187.395861	1.210107	0.359468	13517.793945
3187.396731	0.256802	0.359468	13741.211914
3187.397682	0.089890	0.359468	13826.697266
3187.398626	0.089934	0.359468	13911.594727
3187.399558	0.089938	0.359468	13995.416992
3187.400420	0.089989	0.359468	14072.987305
3187.401376	0.089974	0.359468	14159.002930
3187.402328	0.089927	0.359468	14244.613281
3187.403220	0.090011	0.359468	14324.903320
3187.404134	0.090000	0.359468	14407.163086
3187.405082	0.090018	0.359468	14492.500000
3188.320460	1.077528	0.522405	473.034851
3188.321337	1.556085	0.522405	1837.721680
3188.322200	1.550977	0.522405	3176.214355
3188.323318	1.504625	0.522405	4858.385254
3188.324235	1.462819	0.522405	6199.790039
3188.325118	1.425861	0.522405	7458.824707
3188.326133	1.385522	0.522405	8865.129883
3188.327127	1.346400	0.522405	10203.451172
3188.328020	1.313302	0.522405	11376.229492
3188.328882	1.281365	0.522405	12480.765625
3188.329982	0.989165	0.522405	13568.847656
3188.330885	0.131162	0.522405	13687.287109
3188.331757	0.089938	0.522405	13765.712891
3188.332737	0.090103	0.522405	13854.013672
3188.333738	0.090015	0.522405	13944.118164
3188.334625	0.090004	0.522405	14023.951172
3188.335485	0.089956	0.522405	14101.313477
3188.336582	0.090121	0.522405	14200.175781
3188.337503	0.090066	0.522405	14283.126953
3188.338380	0.090004	0.522405	14362.060547
3188.339344	0.090117	0.522405	14448.933594
3189.420504	1.076005	0.388283	478.822052
3189.421379	1.556569	0.388283	1840.819580
3189.422241	1.552720	0.388283	3179.263916
3189.423268	1.508240	0.388283	4728.226074
3189.424190	1.466510	0.388283	6080.348145
3189.425098	1.427435	0.388283	7376.459473
3189.426001	1.391378	0.388283	8632.874023
3189.426942	1.354669	0.388283	9907.618164
3189.427904	1.319220	0.388283	11176.708008
3189.428799	1.286781	0.388283	12328.376953
3189.429771	1.190607	0.388283	13485.646484
3189.430704	0.223425	0.388283	13694.102539
3189.431617	0.089850	0.388283	13776.135742
3189.432495	0.090055	0.388283	13855.204102
3189.433441	0.090011	0.388283	13940.354492
3189.434383	0.090026	0.388283	14025.158203
3189.435323	0.090022	0.388283	14109.779297
3189.436199	0.089971	0.388283	14188.593750
3189.437128	0.089971	0.388283	14272.176758
3189.438072	0.089974	0.388283	14357.112305
3189.439000	0.090029	0.388283	14440.659180
3190.353185	1.142065	0.524617	587.021606
3190.354081	1.561344	0.524617	1985.985840
3190.354942	1.546926	0.524617	3317.889404
3190.356053	1.499571	0.524617	4983.913086
3190.357023	1.457124	0.524617	6397.323242
3190.357885	1.420624	0.524617	7621.900879
3190.358961	1.377733	0.524617	9104.341797
3190.360005	1.338226	0.524617	10501.450195
3190.360892	1.305095	0.524617	11659.069336
3190.361824	1.271741	0.524617	12844.332031
3190.362915	0.673846	0.524617	13579.498047
3190.363843	0.094241	0.524617	13666.953125
3190.364705	0.089879	0.524617	13744.428711
3190.365739	0.089974	0.524617	13837.461914
3190.366757	0.089993	0.524617	13929.074219
3190.367644	0.090033	0.524617	14008.933594
3190.368602	0.090022	0.524617	14095.174805
3190.369650	0.090029	0.524617	14189.525391
3190.370572	0.089982	0.524617	14272.488281
3190.371444	0.089989	0.524617	14350.958984
3190.372499	0.090077	0.524617	14445.990234
3191.451830	1.058870	0.426165	443.666351
3191.452931	1.562787	0.426165	2164.294678
3191.453856	1.541927	0.426165	3590.577637
3191.454737	1.502542	0.426165	4914.316895
3191.455732	1.459036	0.426165	6366.057617
3191.456736	1.416636	0.426165	7788.359863
3191.457627	1.380699	0.426165	9018.562500
3191.458488	1.346715	0.426165	10178.083984
3191.459570	1.307944	0.426165	11593.279297
3191.460487	1.274923	0.426165	12762.383789
3191.461366	1.010556	0.426165	13650.662109
3191.462339	0.134678	0.426165	13781.703125
3191.463357	0.089934	0.426165	13873.255859
3191.464254	0.090011	0.426165	13953.996094
3191.465123	0.089967	0.426165	14032.177734
3191.466192	0.090018	0.426165	14128.407227
3191.467137	0.089989	0.426165	14213.447266
3191.468016	0.090026	0.426165	14292.580078
3191.468991	0.090015	0.426165	14380.344727
3191.469998	0.090073	0.426165	14471.048828
3191.470879	0.090037	0.426165	14550.371094
3192.390076	1.054497	0.468837	443.943298
3192.391056	1.557649	0.468837	1970.439209
3192.391983	1.546842	0.468837	3404.361816
3192.392859	1.507899	0.468837	4725.281250
3192.393780	1.466730	0.468837	6076.139648
3192.394733	1.426707	0.468837	7435.791016
3192.395659	1.388859	0.468837	8721.874023
3192.396539	1.354724	0.468837	9914.031250
3192.397488	1.318700	0.468837	11165.477539
3192.398456	1.284261	0.468837	12408.642578
3192.399388	1.200967	0.468837	13527.943359
3192.400257	0.245823	0.468837	13741.563477
3192.401245	0.089901	0.468837	13830.385742
3192.402200	0.089960	0.468837	13916.296875
3192.403091	0.089967	0.468837	13996.457031
3192.403998	0.089949	0.468837	14078.041016
3192.404930	0.089963	0.468837	14161.886719
3192.405857	0.090018	0.468837	14245.333984
3192.406721	0.089919	0.468837	14323.024414
3192.407694	0.090007	0.468837	14410.601562
3192.408639	0.089989	0.468837	14495.641602
3193.480949	1.078641	0.443257	522.062378
3193.481910	1.560579	0.443257	2021.778442
3193.482846	1.544886	0.443257	3467.792236
3193.483715	1.505907	0.443257	4776.425293
3193.484651	1.463643	0.443257	6146.394531
3193.485616	1.423575	0.443257	7520.144531
3193.486527	1.386248	0.443257	8783.015625
3193.487408	1.351600	0.443257	9973.775391
3193.488373	1.316422	0.443257	11244.123047
3193.489308	1.283053	0.443257	12443.777344
3193.490193	1.180862	0.443257	13488.839844
3193.491191	0.195981	0.443257	13684.429687
3193.492099	0.089843	0.443257	13766.006836
3193.493029	0.090048	0.443257	13849.750977
3193.493892	0.090018	0.443257	13927.436523
3193.494861	0.089982	0.443257	14014.628906
3193.495807	0.090062	0.443257	14099.828125
3193.496694	0.090007	0.443257	14179.665039
3193.497572	0.089952	0.443257	14258.643555
3193.498528	0.089982	0.443257	14344.666016
3193.499476	0.089993	0.443257	14429.979492
3194.423754	1.061224	0.462170	462.693817
3194.424631	1.555126	0.462170	1826.539062
3194.425496	1.552423	0.462170	3169.385010
3194.426496	1.508683	0.462170	4678.067871
3194.427453	1.465906	0.462170	6080.939453
3194.428387	1.426948	0.462170	7413.708984
3194.429255	1.390924	0.462170	8621.031250
3194.430238	1.354091	0.462170	9952.102539
3194.431190	1.318667	0.462170	11207.473633
3194.432067	1.286063	0.462170	12335.351562
3194.432947	1.219493	0.462170	13408.505859
3194.433926	0.246522	0.462170	13649.851562
3194.434852	0.089857	0.462170	13733.059570
3194.435716	0.090037	0.462170	13810.851562
3194.436736	0.089982	0.462170	13902.632812
3194.437637	0.089908	0.462170	13983.640625
3194.438561	0.090004	0.462170	14066.803711
3194.439424	0.089982	0.462170	14144.458008
