time (s)	coil I (A)	last det (V)	int current (uC)
3237.109489	1.111608	0.432420	499.111847
3237.110367	1.558894	0.432420	1867.820801
3237.111308	1.550420	0.432420	3326.766113
3237.112270	1.508719	0.432420	4778.154297
3237.113194	1.466960	0.432420	6133.625977
3237.114057	1.429860	0.432420	7367.594727
3237.114989	1.390767	0.432420	8663.789062
3237.115960	1.090408	0.432420	9722.575195
3237.116873	0.143016	0.432420	9853.149414
3237.117922	0.089905	0.432420	9947.459961
3237.118886	0.090048	0.432420	10034.265625
3237.119821	0.089952	0.432420	10118.371094
3237.120684	0.090000	0.432420	10196.041016
3237.121665	0.089938	0.432420	10284.269531
3237.122624	0.089960	0.432420	10370.541016
3237.123517	0.089989	0.432420	10450.901367
3237.124433	0.089894	0.432420	10533.244141
3237.125383	0.090037	0.432420	10618.779297
3238.099132	1.047495	0.435087	443.090393
3238.100164	1.559374	0.435087	2052.364014
3238.101142	1.543868	0.435087	3562.267090
3238.102066	1.503003	0.435087	4951.041992
3238.102926	1.462156	0.435087	6208.496094
3238.104059	1.418031	0.435087	7815.125000
3238.104932	1.381589	0.435087	9021.252930
3238.105817	0.916351	0.435087	9832.223633
3238.106701	0.112819	0.435087	9931.955078
3238.107740	0.089872	0.435087	10025.332031
3238.108626	0.089923	0.435087	10105.003906
3238.109503	0.089894	0.435087	10183.840820
3238.110499	0.089916	0.435087	10273.396484
3238.111427	0.089839	0.435087	10356.766602
3238.112347	0.089901	0.435087	10439.475586
3238.113207	0.089938	0.435087	10516.822266
3238.114247	0.089963	0.435087	10610.383789
3238.115130	0.089854	0.435087	10689.724609
3239.136778	1.123696	0.450282	562.971802
3239.137736	1.563809	0.450282	2061.100342
3239.138605	1.548300	0.450282	3406.572754
3239.139671	1.501432	0.450282	5007.099121
3239.140701	1.455923	0.450282	6506.699707
3239.141591	1.418068	0.450282	7768.779785
3239.142528	1.380802	0.450282	9062.590820
3239.143592	0.644059	0.450282	9747.869141
3239.144537	0.092889	0.450282	9835.649414
3239.145401	0.089941	0.450282	9913.358398
3239.146467	0.090040	0.450282	10009.341797
3239.147474	0.089916	0.450282	10099.886719
3239.148355	0.089945	0.450282	10179.127930
3239.149317	0.090048	0.450282	10265.753906
3239.150376	0.089949	0.450282	10361.009766
3239.151296	0.089795	0.450282	10443.621094
3239.152167	0.089905	0.450282	10521.927734
3239.153137	0.089963	0.450282	10609.192383
3240.129489	1.067981	0.463531	475.251556
3240.130370	1.557019	0.463531	1846.985474
3240.131292	1.552057	0.463531	3277.981934
3240.132271	1.509723	0.463531	4756.000977
3240.133201	1.467506	0.463531	6120.781738
3240.134071	1.429995	0.463531	7364.877441
3240.135021	1.390584	0.463531	8685.931641
3240.135971	1.083666	0.463531	9715.414062
3240.136905	0.138889	0.463531	9845.136719
3240.137780	0.089821	0.463531	9923.729492
3240.138749	0.089949	0.463531	10010.889648
3240.139696	0.090015	0.463531	10096.133789
3240.140590	0.090004	0.463531	10176.596680
3240.141471	0.089806	0.463531	10255.715820
3240.142421	0.090055	0.463531	10341.267578
3240.143377	0.089956	0.463531	10427.265625
3240.144255	0.089927	0.463531	10506.221680
3240.145193	0.089927	0.463531	10590.573242
3241.166530	1.054570	0.434732	447.137817
3241.167457	1.556342	0.434732	1889.866455
3241.168408	1.549570	0.434732	3363.507812
3241.169334	1.509049	0.434732	4760.887207
3241.170202	1.469323	0.434732	6036.259277
3241.171166	1.429193	0.434732	7414.001465
3241.172089	1.390671	0.434732	8697.590820
3241.172999	1.162266	0.434732	9755.252930
3241.173873	0.169896	0.434732	9903.742187
3241.174840	0.089755	0.434732	9990.535156
3241.175788	0.089879	0.434732	10075.740234
3241.176682	0.089963	0.434732	10156.167969
3241.177590	0.089989	0.434732	10237.877930
3241.178544	0.089905	0.434732	10323.647461
3241.179475	0.089835	0.434732	10407.284180
3241.180342	0.089996	0.434732	10485.310547
3241.181272	0.089890	0.434732	10568.908203
3241.182195	0.089835	0.434732	10651.826172
3242.160847	1.066835	0.456747	469.407257
3242.161722	1.556052	0.456747	1830.952881
3242.162585	1.553701	0.456747	3171.796875
3242.163624	1.509737	0.456747	4740.414062
3242.164530	1.468235	0.456747	6070.634766
3242.165408	1.430947	0.456747	7327.006348
3242.166268	1.393780	0.456747	8525.657227
3242.167327	1.127325	0.456747	9719.495117
3242.168216	0.155376	0.456747	9857.624023
3242.169086	0.089817	0.456747	9935.764648
3242.170078	0.089890	0.456747	10024.935547
3242.170993	0.089919	0.456747	10107.211914
3242.171896	0.089993	0.456747	10188.475586
3242.172773	0.089901	0.456747	10267.319336
3242.173784	0.089960	0.456747	10358.268555
3242.174677	0.089941	0.456747	10438.585937
3242.175599	0.089923	0.456747	10521.495117
3242.176465	0.089963	0.456747	10599.403320
3243.194316	1.073957	0.509719	469.319397
3243.195187	1.555920	0.509719	1824.526123
3243.196199	1.548801	0.509719	3391.913086
3243.197193	1.504724	0.509719	4887.608887
3243.198085	1.464445	0.509719	6193.893555
3243.198947	1.426765	0.509719	7423.765137
3243.200011	1.384596	0.509719	8896.975586
3243.200939	0.957726	0.509719	9785.745117
3243.201860	0.112668	0.509719	9889.512695
3243.202736	0.089817	0.509719	9968.192383
3243.203759	0.089930	0.509719	10060.191406
3243.204651	0.089883	0.509719	10140.367187
3243.205531	0.089875	0.509719	10219.458008
3243.206497	0.089879	0.509719	10306.281250
3243.207441	0.089930	0.509719	10391.175781
3243.208369	0.089894	0.509719	10474.597656
3243.209235	0.089850	0.509719	10552.407227
3243.210277	0.089985	0.509719	10646.171875
3244.188917	1.122762	0.534494	529.943848
3244.189843	1.561055	0.534494	1975.480347
3244.190739	1.549061	0.534494	3363.439453
3244.191665	1.508412	0.534494	4760.228516
3244.192626	1.465459	0.534494	6168.534668
3244.193553	1.426271	0.534494	7490.687500
3244.194436	1.390140	0.534494	8718.181641
3244.195490	0.965358	0.534494	9735.668945
3244.196536	0.104183	0.534494	9844.644531
3244.197468	0.089839	0.534494	9928.374023
3244.198332	0.089941	0.534494	10006.083008
3244.199396	0.090059	0.534494	10101.905273
3244.200395	0.089978	0.534494	10191.792969
3244.201282	0.090004	0.534494	10271.625977
3244.202270	0.090033	0.534494	10360.578125
3244.203322	0.090022	0.534494	10455.281250
3244.204220	0.089861	0.534494	10535.976562
3244.205080	0.090062	0.534494	10613.429687
3245.224943	1.132130	0.526989	540.026001
3245.225918	1.562714	0.526989	2063.671875
3245.226854	1.545699	0.526989	3510.446533
3245.227719	1.506101	0.526989	4813.224121
3245.228693	1.463350	0.526989	6238.526367
3245.229652	1.423348	0.526989	7603.517578
3245.230547	1.386870	0.526989	8844.766602
3245.231475	1.039094	0.526989	9809.045898
3245.232452	0.121219	0.526989	9927.477539
3245.233376	0.089828	0.526989	10010.478516
3245.234247	0.089941	0.526989	10088.817383
3245.235161	0.089897	0.526989	10170.983398
3245.236107	0.089901	0.526989	10256.030273
3245.237035	0.089989	0.526989	10339.540039
3245.237919	0.090029	0.526989	10419.125977
3245.238990	0.090018	0.526989	10515.535156
3245.240034	0.090081	0.526989	10609.579102
3245.240925	0.090040	0.526989	10689.804687
3246.216380	1.047627	0.549632	442.098572
3246.217304	1.554478	0.549632	1878.435791
3246.218249	1.549438	0.549632	3342.655273
3246.219170	1.509232	0.549632	4732.658203
3246.220040	1.469414	0.549632	6011.048340
3246.221010	1.429244	0.549632	7397.415527
3246.221938	1.390074	0.549632	8687.404297
3246.222875	1.148046	0.549632	9763.123047
3246.223737	0.164678	0.549632	9905.075195
3246.224703	0.089791	0.549632	9991.813477
3246.225643	0.089843	0.549632	10076.265625
3246.226531	0.089985	0.549632	10156.172852
3246.227446	0.090037	0.549632	10238.556641
3246.228374	0.089916	0.549632	10321.998047
3246.229287	0.089956	0.549632	10404.127930
3246.230150	0.089890	0.549632	10481.703125
3246.231130	0.089875	0.549632	10569.781250
3246.232083	0.089985	0.549632	10655.537109
