time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1899.688972	329.706116	0.671240	0.017802	33
1901.715124	329.701538	0.669243	0.017901	35
1903.740561	329.596466	0.671374	0.018511	37
1905.775617	329.647736	0.689500	0.017713	39
1907.813172	329.694824	0.709464	0.017444	41
1909.851548	329.860687	0.731050	0.017276	43
1911.889665	329.952759	0.752819	0.017238	45
1913.928510	329.999939	0.774076	0.017270	47
1915.969640	330.024323	0.795752	0.017293	49
1918.008449	329.954498	0.817037	0.016995	51
1920.045400	329.805847	0.837323	0.016933	53
1922.078309	329.658508	0.857461	0.016957	55
1924.108191	329.485016	0.877456	0.016807	57
1926.138437	329.344513	0.898093	0.016881	59
1928.168166	329.233734	0.918734	0.017181	61
1930.196976	329.217957	0.939144	0.017052	63
1932.224027	329.357880	0.959976	0.016661	65
1934.250300	329.536194	0.980858	0.016556	67
1936.275056	329.727722	0.999140	0.016811	69
1938.300503	329.863647	1.015027	0.017233	71
1940.326921	329.984528	1.028342	0.017415	73
1942.353823	330.057190	1.038907	0.017111	75
1944.381804	330.016846	1.048302	0.017043	77
1946.410733	329.901001	1.058308	0.017125	79
1948.439903	329.746399	1.067823	0.017323	81
1950.469146	329.594635	1.079637	0.017771	83
1952.498641	329.451141	1.089770	0.018175	85
1954.528171	329.319489	1.100776	0.018657	87
1956.557246	329.213593	1.111950	0.018684	89
1958.585881	329.155212	1.122626	0.018997	91
1960.614486	329.112488	1.133933	0.019232	93
1962.643910	329.096161	1.145179	0.019587	95
1964.673800	329.120636	1.156458	0.019753	97
1966.704840	329.135345	1.168445	0.019965	99
1968.735811	329.211548	1.178956	0.019813	101
1970.766971	329.308716	1.188941	0.019913	103
1972.797784	329.440430	1.197351	0.019883	105
1974.828265	329.479706	1.206195	0.020098	107
1976.858734	329.450165	1.214548	0.020498	109
1978.889278	329.398590	1.220624	0.021065	111
1980.919646	329.244171	1.226014	0.021426	113
1982.949514	329.151428	1.232737	0.021795	115
