time (s)	magX	magY	magZ
1899.445157	-537.755676	341.905304	-742.197571
1899.448500	-536.294556	341.729980	-751.373474
1899.451832	-536.586792	341.320862	-758.796021
1899.455187	-535.651672	341.087067	-766.686157
1899.458617	-535.710083	340.970184	-776.388062
1899.461954	-534.833435	339.976624	-786.323792
1899.465266	-534.307434	339.158386	-795.908813
1899.468626	-533.372314	338.983063	-804.500305
1899.471927	-531.852722	338.281708	-814.903564
1899.475276	-531.502075	337.697235	-824.605469
1899.479069	-528.696655	337.171234	-834.190552
1899.482741	-527.878418	336.060791	-845.587341
1899.486094	-527.118652	334.833435	-855.230896
1899.489404	-524.196411	334.482758	-866.452393
1899.492740	-522.618347	332.437195	-877.907654
1899.496078	-521.800110	331.385162	-888.661560
1899.499417	-520.222107	329.865570	-900.350647
1899.502743	-516.890747	327.995331	-911.981323
1899.506077	-514.552856	326.592651	-924.371704
1899.509407	-511.747498	324.254822	-936.645203
1899.512736	-507.539459	321.858582	-949.094116
1899.516076	-504.909424	319.871429	-961.484497
1899.519406	-501.811798	317.825836	-973.933411
1899.522741	-498.363556	315.137329	-985.856262
1899.526068	-494.272369	312.799530	-998.246643
1899.529403	-490.882538	309.351257	-1012.215027
1899.532738	-487.200439	307.013428	-1026.475708
1899.536074	-481.881958	303.272949	-1038.164795
1899.539834	-476.212738	300.818237	-1051.198120
1899.543182	-471.946228	297.019287	-1064.465210
1899.546523	-466.277039	293.687897	-1078.375244
1899.549858	-461.016937	289.655151	-1090.999390
1899.553194	-455.581512	285.973114	-1105.026367
1899.556494	-450.263031	281.998840	-1115.838745
1899.559826	-444.476898	278.375214	-1130.975952
1899.563169	-438.807739	274.400940	-1141.905273
1899.566504	-432.495605	270.426666	-1155.172485
1899.569824	-425.482178	266.043243	-1167.562866
1899.573183	-420.222107	261.016937	-1179.777954
1899.576937	-413.267090	257.334900	-1192.051392
1899.580328	-407.130341	252.425476	-1205.026367
1899.583666	-399.123322	248.743408	-1216.423096
1899.587022	-392.811218	243.834015	-1228.638306
1899.590251	-384.570435	239.099930	-1240.502686
1899.593603	-377.381653	233.722977	-1252.776123
1899.596911	-369.783752	229.047348	-1262.770264
1899.600271	-362.068970	224.021027	-1276.388062
1899.603605	-353.243713	218.468735	-1287.609619
1899.607002	-344.827576	213.033325	-1298.947998
1899.610343	-336.002319	207.422562	-1312.039795
1899.614068	-326.826416	201.461121	-1321.916992
1899.617389	-317.182922	195.558151	-1333.430786
1899.620692	-306.955017	189.012283	-1345.879639
1899.624117	-297.019287	183.226181	-1355.698364
1899.627456	-287.258911	176.095856	-1365.984863
1899.630803	-276.095856	169.549973	-1379.544189
1899.634129	-265.984802	162.478073	-1389.070679
1899.637514	-253.419037	154.880188	-1400.292236
1899.640830	-242.022202	148.275864	-1410.052612
1899.644180	-231.092926	140.268845	-1421.098755
1899.647523	-218.702515	133.021622	-1429.456421
1899.650837	-206.253647	124.722382	-1439.158325
1899.654634	-193.161896	116.598473	-1448.158936
1899.658013	-179.427231	108.416130	-1457.510132
1899.661344	-166.744583	100.759796	-1466.335449
1899.664730	-153.419052	92.811218	-1475.219116
1899.668037	-140.619522	84.453537	-1481.005249
1899.671352	-126.300407	75.803627	-1489.655151
1899.674635	-112.390411	66.978378	-1496.201050
1899.677967	-98.831093	58.620689	-1501.402710
1899.681342	-85.154877	50.613678	-1508.825195
1899.684663	-71.537109	42.314438	-1513.910034
1899.687964	-57.451786	34.541206	-1519.053223
1899.691713	-43.249561	26.008183	-1523.553467
1899.695044	-29.982466	17.475161	-1528.053711
1899.698377	-16.364700	9.760374	-1531.969604
1899.701696	-3.039158	1.811806	-1534.307373
1899.705049	11.046172	-6.370543	-1536.528320
1899.708367	24.839275	-14.026885	-1538.866089
1899.711666	37.872589	-21.566336	-1541.087036
1899.715138	50.379898	-29.339567	-1541.203979
1899.718443	64.231445	-37.638809	-1542.314453
1899.721716	77.264755	-44.243134	-1542.255981
1899.725099	90.064285	-51.957916	-1542.781982
1899.728853	103.039154	-59.029804	-1543.483398
1899.732283	115.488014	-66.101692	-1542.255981
1899.735590	129.514908	-73.465813	-1539.859741
1899.738906	142.255981	-80.362358	-1536.762085
1899.742260	154.880188	-88.018707	-1534.307373
1899.745616	167.329056	-94.681473	-1531.735840
1899.748909	179.719467	-101.110458	-1528.813599
1899.752262	191.934540	-108.007011	-1525.189941
1899.755556	204.558731	-115.137352	-1519.754517
1899.758934	217.416718	-121.917007	-1515.546387
1899.762259	229.924011	-128.579788	-1509.409668
1899.765618	241.729980	-134.716537	-1502.980713
1899.769381	254.178833	-141.613083	-1496.668579
1899.772718	266.627686	-147.632965	-1489.713623
1899.776044	278.024567	-154.646408	-1483.226196
1899.779382	290.298096	-160.724716	-1474.927002
1899.782716	302.104034	-166.803040	-1467.796631
1899.786044	313.267090	-172.706024	-1457.627075
1899.789378	324.196381	-179.251892	-1448.334351
1899.792725	335.417877	-185.037994	-1439.041504
1899.796047	345.996490	-190.473404	-1428.462891
1899.799375	356.516663	-196.142609	-1418.527222
1899.803161	367.387482	-201.168915	-1408.065430
1899.806490	377.498535	-207.247238	-1396.376465
1899.809841	387.200470	-212.098190	-1384.395142
1899.813141	396.376404	-217.066055	-1373.582764
1899.816486	405.143219	-221.274109	-1363.413208
1899.819796	413.559326	-225.423721	-1349.678467
1899.823137	421.975464	-229.865570	-1337.755737
1899.826470	429.982483	-233.313843	-1325.715942
1899.829795	437.697266	-238.047928	-1313.208618
1899.833573	444.535339	-240.853302	-1301.578003
1899.836994	451.665680	-244.593811	-1288.369385
1899.840296	457.919373	-247.632950	-1276.680298
1899.843635	464.523651	-250.789017	-1264.465210
1899.846893	470.368195	-253.828171	-1250.847412
1899.850230	476.037415	-256.867340	-1239.275269
1899.853554	483.401550	-259.322021	-1226.183472
1899.856910	488.544708	-262.185852	-1213.734619
1899.860257	493.161926	-264.582123	-1201.928711
1899.863629	498.538879	-266.919922	-1188.720093
1899.866966	502.746918	-269.023956	-1176.855713
1899.870329	507.130341	-271.127991	-1162.945679
1899.873987	510.812378	-273.290466	-1149.970825
1899.877328	514.962036	-274.751617	-1138.457031
1899.880771	518.351868	-276.738739	-1125.189941
1899.884071	522.267700	-278.141418	-1112.507324
1899.887396	525.423706	-279.719482	-1099.707764
1899.890755	528.930481	-281.414368	-1085.330200
1899.894093	531.268250	-282.875519	-1070.601929
1899.897426	533.956787	-284.044403	-1058.562256
1899.900779	537.054321	-285.973114	-1045.236694
1899.904101	540.035034	-286.382233	-1031.268311
1899.907451	543.249573	-287.726471	-1018.059631
1899.910803	544.126221	-289.304504	-1003.740479
1899.914178	546.580933	-289.830505	-990.239624
1899.917955	547.983643	-290.882507	-976.154297
1899.921250	549.210999	-291.759216	-962.361145
1899.924582	551.022827	-292.811218	-948.684998
1899.927884	552.776123	-293.161896	-934.424316
1899.931250	553.594421	-293.687897	-922.209290
1899.934560	555.873779	-295.032135	-909.292786
1899.937932	555.114014	-294.973694	-896.084106
1899.941240	556.107544	-295.675049	-882.524902
1899.944974	556.925781	-295.382812	-869.666870
1899.948296	557.334900	-295.733490	-857.334900
1899.951581	558.211548	-295.382812	-845.762756
1899.955030	557.101135	-295.558136	-833.722961
1899.958344	557.568665	-295.791931	-822.618408
1899.961684	557.334900	-295.733490	-810.695435
1899.965073	556.458252	-295.908844	-801.285828
1899.968397	557.217957	-296.259491	-790.064270
1899.971699	557.042664	-295.032135	-779.661011
1899.975047	556.984253	-295.149048	-770.251343
1899.978383	555.464661	-295.616608	-759.497375
1899.982104	555.289307	-294.856812	-749.620117
1899.985477	554.178833	-294.681488	-741.028625
1899.988774	553.886597	-294.272339	-732.904724
1899.992122	553.302124	-293.863251	-723.436584
1899.995425	552.016357	-294.038574	-715.604919
1899.998767	551.724121	-292.869659	-706.545898
1900.002058	550.204590	-292.343658	-698.597290
1900.005423	549.269409	-292.226776	-690.356506
1900.008728	549.094116	-292.051422	-681.589722
1900.012498	548.100525	-290.882507	-674.459351
1900.016044	546.756287	-289.947388	-666.101685
1900.019357	545.470459	-289.947388	-658.679138
1900.022688	545.002930	-289.187592	-650.613708
1900.026024	545.061340	-288.836945	-643.834045
1900.029358	543.015747	-287.609589	-635.476379
1900.032692	540.970154	-287.668030	-627.703125
1900.036035	540.677979	-286.732910	-619.696106
1900.039361	539.099915	-286.382233	-611.689087
1900.042686	537.989502	-285.856232	-604.324951
1900.046025	536.645203	-284.862671	-597.779053
1900.049357	535.184082	-283.927551	-590.122742
1900.052689	533.547668	-283.518402	-581.414368
1900.056017	532.437195	-282.466400	-575.277588
1900.059806	530.566956	-282.992401	-568.673279
1900.063114	529.339539	-281.998840	-562.010498
1900.066440	528.287537	-281.531250	-555.172424
1900.069767	527.644653	-281.005249	-548.684998
1900.073131	525.540649	-279.953247	-542.606628
1900.076459	524.839233	-279.427246	-536.177673
1900.079795	523.261230	-278.901215	-530.625366
1900.083166	521.566345	-278.316772	-524.371704
1900.086437	519.812988	-277.440094	-518.994751
1900.089800	519.170105	-277.381653	-514.085327
1900.093538	517.241394	-276.212738	-509.175934
1900.096936	517.475159	-276.154297	-505.143219
1900.100224	515.604919	-275.102295	-501.110474
1900.103594	514.143738	-274.517822	-495.850372
1900.106960	513.208618	-274.400940	-492.343658
1900.110264	512.799561	-272.939789	-488.252502
1900.113549	510.929291	-272.939789	-485.856262
1900.116883	510.111053	-272.647583	-482.583282
1900.120192	509.643494	-272.413788	-477.849182
1900.123544	508.766785	-271.478668	-474.868500
1900.127372	508.591461	-271.303314	-472.355377
1900.130355	507.481018	-270.309753	-470.426666
1900.134032	506.604340	-270.017517	-468.264160
1900.137330	506.545868	-269.666870	-465.692566
1900.140643	505.552307	-269.433075	-463.705444
1900.143972	505.844543	-268.848633	-461.659851
1900.147399	505.493866	-268.088837	-459.088226
1900.150717	504.558746	-267.036804	-457.451782
1900.154015	504.208099	-267.095245	-455.406189
1900.157732	503.389832	-267.036804	-453.360596
1900.161161	501.811798	-266.861481	-451.782562
1900.164453	502.688507	-266.101685	-450.438354
1900.167761	502.279388	-265.692566	-448.684967
1900.171112	501.052002	-265.575684	-446.639404
1900.174432	500.818237	-264.874329	-445.178284
1900.177728	500.233795	-264.582123	-443.191101
1900.180998	500.058472	-264.640564	-441.087097
1900.184358	498.831085	-264.056122	-439.509064
1900.188057	499.532410	-263.413208	-437.405029
1900.191410	498.012878	-263.646973	-436.353027
1900.194668	498.480408	-263.588562	-435.008759
1900.197923	497.954407	-263.822327	-433.606110
1900.201260	497.603760	-263.004089	-432.495605
1900.204991	496.668640	-263.179413	-430.742249
1900.208310	496.785492	-262.244293	-430.450012
1900.211615	496.493286	-262.068970	-429.339539
1900.214885	496.084167	-262.244293	-429.339539
1900.218218	495.382843	-262.770325	-428.579773
1900.221569	495.791901	-263.062531	-428.521362
1900.224848	495.441254	-262.536530	-428.229095
1900.228589	496.376373	-262.419617	-428.638214
1900.231958	496.610168	-262.010529	-429.690216
1900.235242	497.077759	-262.127411	-430.274689
1900.238559	497.194611	-261.952057	-430.625336
1900.241873	497.194611	-262.244293	-431.911194
1900.245193	497.662170	-262.302765	-433.138519
1900.248537	497.603760	-262.419617	-435.008759
1900.251913	498.772675	-262.887207	-436.236084
1900.255622	499.298676	-262.244293	-438.047943
1900.259390	499.883118	-262.536530	-440.268860
1900.262663	501.227325	-262.711853	-442.372894
1900.266023	501.578033	-262.770325	-444.944489
1900.269331	502.571594	-262.711853	-447.516052
1900.272669	502.688507	-263.471649	-451.139679
1900.275998	503.448303	-263.179413	-452.425476
1900.279329	504.558746	-263.296326	-455.815308
1900.282667	505.552307	-264.056122	-457.977783
1900.285999	506.136749	-263.705444	-460.607819
1900.289324	508.182343	-264.348328	-463.354767
1900.292660	508.766785	-264.173004	-466.803040
1900.295999	509.468140	-264.699005	-469.725311
1900.299325	510.520172	-264.289886	-471.478638
1900.302660	511.864410	-264.406769	-474.634705
1900.306000	513.208618	-264.465240	-477.849182
1900.309329	513.559326	-265.049683	-482.232605
1900.312664	514.962036	-264.932800	-485.622467
1900.315994	516.189392	-264.932800	-488.778503
1900.319778	517.767395	-265.926361	-491.174744
1900.323116	517.708923	-265.575684	-494.798370
1900.326410	518.877869	-266.218597	-498.071289
1900.329748	520.514282	-266.686157	-502.045593
1900.333085	521.098755	-266.744598	-504.500305
1900.336419	522.442993	-267.621277	-508.591461
1900.339757	523.611938	-267.329041	-512.448853
1900.343084	524.547058	-268.205750	-516.715393
1900.346447	525.540649	-268.439514	-520.923401
1900.349769	526.943298	-269.023956	-524.663940
1900.353585	528.112244	-269.082397	-529.924011
1900.356929	529.105835	-269.374634	-535.184082
1900.360179	530.566956	-269.900635	-540.911743
1900.363507	531.443604	-270.192871	-545.528931
1900.366840	533.255371	-270.075989	-551.957947
1900.370210	535.067200	-270.426666	-556.691956
1900.373521	536.820557	-270.952667	-563.939209
1900.376917	538.106384	-271.244873	-570.426636
1900.380284	538.807739	-271.361786	-576.972534
1900.383579	540.853333	-271.829346	-584.512024
1900.387259	542.197571	-272.238434	-591.116272
1900.390668	544.067810	-271.887787	-599.415527
1900.394023	546.639404	-272.881378	-607.247192
1900.397356	546.697876	-273.290466	-614.260681
1900.400683	549.094116	-273.232025	-622.209229
1900.403999	550.029236	-273.407349	-630.274658
1900.407394	551.373474	-274.167145	-639.158386
1900.410698	553.126831	-273.991821	-647.866699
1900.414085	554.997070	-273.933350	-656.282837
1900.417426	555.464661	-274.342499	-665.108093
1900.420778	557.334900	-273.874939	-673.641174
1900.424142	558.620667	-274.400940	-682.700134
1900.427488	559.263611	-274.050262	-692.518982
1900.430770	561.133850	-274.167145	-700.876648
1900.434537	562.185852	-274.342499	-710.286377
1900.437858	563.705444	-274.576294	-719.053162
1900.441226	564.406799	-274.342499	-727.644653
1900.444556	565.867920	-274.108734	-736.762146
1900.447872	565.926392	-274.284058	-746.054932
1900.451240	566.335510	-273.816498	-755.756836
1900.454530	568.030396	-273.524261	-763.880798
1900.457923	569.666870	-273.290466	-773.407349
1900.461236	569.783752	-273.465790	-784.570435
1900.464541	570.952637	-273.524261	-793.746338
1900.467924	570.543518	-273.816498	-803.331360
1900.471284	570.485107	-272.764465	-813.968445
1900.475053	571.244934	-273.056702	-823.144348
1900.478362	571.186462	-272.647583	-834.482788
1900.481678	572.296875	-272.004669	-845.528870
1900.484976	571.478638	-271.361786	-855.698364
1900.488320	571.770935	-270.835754	-867.679687
1900.491702	572.238464	-270.543549	-878.083008
1900.495101	571.770935	-269.549957	-890.882507
1900.498398	571.537109	-269.900635	-901.694885
1900.501774	570.485107	-267.855042	-914.903564
1900.505078	570.192871	-266.686157	-926.066589
1900.508420	570.134399	-265.867920	-939.567444
1900.512137	569.374634	-264.757446	-952.016357
1900.515463	568.556396	-263.822327	-965.341919
1900.518855	566.978333	-262.010529	-977.030945
1900.522176	564.523621	-261.016937	-992.226807
1900.525552	564.231445	-258.971344	-1005.026367
1900.529309	561.718262	-257.510223	-1020.222107
1900.532639	559.848022	-256.224426	-1033.255371
1900.535972	558.153076	-253.886597	-1046.697754
1900.539307	554.821716	-251.957916	-1060.666260
1900.542636	552.542358	-249.386337	-1074.810059
1900.545965	549.737000	-246.756287	-1089.947388
1900.549300	546.171814	-244.710678	-1104.032715
1900.552669	543.483337	-242.255997	-1117.358276
1900.555972	539.275269	-240.327286	-1130.274658
1900.559303	535.067200	-237.697250	-1143.833984
1900.562640	531.852722	-234.307434	-1157.334961
1900.565965	527.293945	-231.560486	-1170.835815
1900.569300	523.144348	-228.053757	-1183.284668
1900.572638	519.754578	-225.774414	-1196.610107
1900.575968	514.026855	-222.559906	-1209.643433
1900.579727	509.585052	-219.286972	-1221.975464
1900.583060	504.091156	-215.897125	-1235.008789
1900.586395	499.824677	-212.741089	-1245.353638
1900.589748	493.512573	-209.117477	-1257.510132
1900.593090	487.375793	-205.552322	-1269.783813
1900.596482	482.057281	-201.461121	-1282.466431
1900.599772	474.634705	-197.720642	-1294.389282
1900.603063	468.790192	-193.863235	-1304.500244
1900.606397	460.958496	-190.356522	-1316.072510
1900.609716	454.354187	-186.148453	-1327.177002
1900.613473	447.223846	-181.122147	-1337.931030
1900.616830	439.801270	-177.089417	-1348.801880
1900.620189	431.911194	-172.063126	-1359.029785
1900.623562	424.547058	-167.329056	-1369.257690
1900.626904	415.897125	-162.536530	-1379.719482
1900.630147	407.188782	-157.218002	-1390.064331
1900.633476	397.837524	-152.191696	-1399.649292
1900.636808	387.551147	-146.639389	-1409.176025
1900.640170	378.492126	-141.437759	-1419.403809
1900.643501	369.316193	-135.242538	-1429.164185
1900.646893	357.802460	-129.456467	-1436.995850
1900.650226	347.749847	-122.384575	-1446.405640
1900.653997	336.586792	-115.429565	-1452.776123
1900.657349	324.956146	-109.351257	-1461.192383
1900.660638	312.974854	-102.162483	-1468.088867
1900.664024	301.928680	-95.558151	-1475.920532
1900.667381	289.246063	-88.778488	-1481.706665
1900.670707	277.147858	-80.654587	-1486.849731
1900.674031	264.289886	-73.348923	-1492.519043
1900.677355	251.607254	-66.218582	-1498.889526
1900.680681	239.216827	-58.094681	-1502.746948
1900.684079	226.475739	-50.672119	-1506.487427
1900.687416	213.383987	-42.898891	-1510.637085
1900.691140	200.526001	-34.950321	-1514.377563
1900.694471	187.434250	-27.761543	-1514.728271
1900.697793	173.524261	-19.345411	-1518.118042
1900.701140	160.081833	-11.805962	-1519.403809
1900.704507	147.048508	-4.792519	-1520.105225
1900.707860	134.307419	4.032730	-1520.631226
1900.711186	120.806549	12.273524	-1520.514282
1900.714509	106.838104	20.222092	-1520.455811
1900.717848	93.921684	27.586206	-1519.462280
1900.721215	80.537697	34.891876	-1517.241333
1900.724977	67.504379	42.957336	-1514.845093
1900.728276	54.471069	49.912331	-1513.617798
1900.731614	41.028641	57.919346	-1511.513672
1900.734980	28.170660	65.458801	-1508.182373
1900.738269	15.371127	73.232033	-1502.746948
1900.741609	2.162478	80.771477	-1500.642822
1900.744898	-12.215078	88.077148	-1496.434937
1900.748196	-24.430157	95.324371	-1490.531860
1900.751999	-37.931034	102.746925	-1485.388672
1900.755280	-50.847458	109.643486	-1480.537720
1900.758586	-63.997662	117.416718	-1473.641113
1900.761904	-77.030975	124.897720	-1467.855103
1900.765341	-90.064285	132.554062	-1462.185913
1900.768638	-103.331390	139.859741	-1454.062012
1900.772002	-116.072479	147.340744	-1447.691406
1900.775397	-129.047348	154.646408	-1439.216797
1900.778687	-141.963776	162.478073	-1431.326660
1900.781972	-154.704865	170.309753	-1422.559937
1900.785367	-167.212158	177.615433	-1412.273560
1900.788694	-180.303925	184.979553	-1402.980713
1900.792102	-192.694336	192.285217	-1394.330811
1900.795819	-205.201630	198.480408	-1383.693848
