time (s)	coil I (A)	last det (V)	int current (uC)
1903.924923	1.165521	0.404311	610.733154
1903.925851	1.565284	0.404311	2063.316895
1903.926711	1.548871	0.404311	3395.345703
1903.927803	1.501245	0.404311	5034.705078
1903.928835	1.455721	0.404311	6537.009766
1903.929716	1.418335	0.404311	7786.562988
1903.930705	1.379022	0.404311	9150.416016
1903.931768	1.338387	0.404311	10573.122070
1903.932680	1.304575	0.404311	11762.894531
1903.933550	1.272491	0.404311	12869.961914
1903.934663	0.640203	0.404311	13582.507812
1903.935634	0.092380	0.404311	13672.208984
1903.936517	0.089945	0.404311	13751.630859
1903.937523	0.090051	0.404311	13842.222656
1903.938582	0.089996	0.404311	13937.528320
1903.939470	0.090011	0.404311	14017.458008
1903.940356	0.090044	0.404311	14097.237305
1903.941460	0.089956	0.404311	14196.548828
1903.942418	0.089930	0.404311	14282.702148
1903.943287	0.090004	0.404311	14360.915039
1903.944321	0.090070	0.404311	14454.046875
1904.991983	1.111827	0.386438	523.670776
1904.992863	1.561014	0.386438	1897.363403
1904.993824	1.550361	0.386438	3387.260742
1904.994883	1.503237	0.386438	4979.188965
1904.995817	1.461372	0.386438	6344.110352
1904.996686	1.424059	0.386438	7581.617187
1904.997766	1.381135	0.386438	9073.243164
1904.998764	1.342793	0.386438	10413.350586
1904.999660	1.309772	0.386438	11586.906250
1905.000648	1.275011	0.386438	12846.617187
1905.001707	0.736176	0.386438	13626.226562
1905.002617	0.096998	0.386438	13714.495117
1905.003479	0.089839	0.386438	13791.936523
1905.004569	0.089952	0.386438	13889.984375
1905.005523	0.089974	0.386438	13975.820312
1905.006398	0.089916	0.386438	14054.497070
1905.007418	0.090007	0.386438	14146.304687
1905.008465	0.089890	0.386438	14240.419922
1905.009344	0.089963	0.386438	14319.498047
1905.010217	0.089989	0.386438	14398.058594
1905.011307	0.089985	0.386438	14496.142578
1905.962043	1.056405	0.442484	445.802887
1905.963020	1.560040	0.442484	1969.962158
1905.963957	1.549343	0.442484	3421.696777
1905.964828	1.510459	0.442484	4737.306641
1905.965736	1.469656	0.442484	6071.753906
1905.966673	1.428915	0.442484	7410.646973
1905.967627	1.390671	0.442484	8737.347656
1905.968529	1.355680	0.442484	9960.170898
1905.969438	1.321535	0.442484	11161.445312
1905.970390	1.287480	0.442484	12387.126953
1905.971317	1.224481	0.442484	13522.220703
1905.972187	0.277266	0.442484	13763.441406
1905.973166	0.089923	0.442484	13851.476562
1905.974118	0.089901	0.442484	13937.062500
1905.975016	0.089996	0.442484	14017.878906
1905.975911	0.089894	0.442484	14098.333984
1905.976842	0.089938	0.442484	14182.066406
1905.977786	0.089912	0.442484	14266.943359
1905.978680	0.089945	0.442484	14347.354492
1905.979602	0.089897	0.442484	14430.240234
1905.980559	0.089927	0.442484	14516.299805
1907.022452	1.093414	0.398776	528.119141
1907.023410	1.562801	0.398776	2025.282959
1907.024335	1.548358	0.398776	3457.514160
1907.025204	1.509258	0.398776	4769.059082
1907.026142	1.466895	0.398776	6145.005859
1907.027078	1.426674	0.398776	7480.372070
1907.028008	1.389565	0.398776	8772.667969
1907.028888	1.354680	0.398776	9964.786133
1907.029871	1.318923	0.398776	11261.288086
1907.030823	1.285074	0.398776	12484.678711
1907.031719	1.194302	0.398776	13554.773437
1907.032637	0.231266	0.398776	13767.075195
1907.033581	0.089846	0.398776	13851.889648
1907.034503	0.089989	0.398776	13934.859375
1907.035380	0.090007	0.398776	14013.795898
1907.036320	0.089974	0.398776	14098.372070
1907.037237	0.089952	0.398776	14180.858398
1907.038161	0.090062	0.398776	14264.076172
1907.039036	0.089930	0.398776	14342.765625
1907.039992	0.089978	0.398776	14428.784180
1907.040941	0.089971	0.398776	14514.166016
1908.000448	1.056171	0.484302	447.816376
1908.001342	1.555367	0.484302	1838.314819
1908.002336	1.549369	0.484302	3378.387451
1908.003274	1.508152	0.484302	4793.034180
1908.004160	1.468345	0.484302	6093.987305
1908.005083	1.429318	0.484302	7413.247559
1908.006036	1.390858	0.484302	8738.735352
1908.006971	1.354691	0.484302	10005.371094
1908.007838	1.321743	0.484302	11151.322266
1908.008781	1.287561	0.484302	12365.492187
1908.009714	1.199246	0.484302	13484.388672
1908.010647	0.233145	0.484302	13701.912109
1908.011519	0.089908	0.484302	13780.312500
1908.012497	0.089971	0.484302	13868.303711
1908.013451	0.089927	0.484302	13954.093750
1908.014350	0.090004	0.484302	14035.006836
1908.015262	0.089978	0.484302	14117.066406
1908.016220	0.089949	0.484302	14203.237305
1908.017148	0.089985	0.484302	14286.744141
1908.018010	0.089938	0.484302	14364.270508
1908.018944	0.089934	0.484302	14448.268555
1909.049585	1.066978	0.418157	485.474762
1909.050475	1.559956	0.418157	1873.835693
1909.051348	1.553628	0.418157	3230.152832
1909.052326	1.511089	0.418157	4707.997559
1909.053265	1.467964	0.418157	6086.415527
1909.054199	1.429109	0.418157	7421.203125
1909.055064	1.392671	0.418157	8625.863281
1909.056044	1.355771	0.418157	9954.519531
1909.056994	1.320414	0.418157	11208.913086
1909.057874	1.288165	0.418157	12342.498047
1909.058793	1.217589	0.418157	13461.462891
1909.059753	0.256216	0.418157	13707.429687
1909.060677	0.089850	0.418157	13790.451172
1909.061553	0.090055	0.418157	13869.338867
1909.062499	0.089956	0.418157	13954.437500
1909.063444	0.089919	0.418157	14039.411133
1909.064376	0.089967	0.418157	14123.260742
1909.065242	0.089952	0.418157	14201.159180
1909.066211	0.089934	0.418157	14288.305664
1909.067167	0.089960	0.418157	14374.307617
1909.068037	0.089938	0.418157	14452.553711
1910.040888	1.054475	0.477723	441.825043
1910.041878	1.561205	0.477723	1987.417847
1910.042798	1.549336	0.477723	3412.806885
1910.043673	1.510301	0.477723	4734.320801
1910.044588	1.468857	0.477723	6078.325195
1910.045547	1.427728	0.477723	7447.516602
1910.046488	1.389869	0.477723	8755.383789
1910.047381	1.355402	0.477723	9965.757812
1910.048297	1.321106	0.477723	11175.890625
1910.049260	1.286690	0.477723	12414.972656
1910.050192	1.210078	0.477723	13542.765625
1910.051062	0.256011	0.477723	13765.495117
1910.052030	0.089875	0.477723	13852.494141
1910.052971	0.089919	0.477723	13937.108398
1910.053877	0.090011	0.477723	14018.658203
1910.054735	0.089952	0.477723	14095.836914
1910.055691	0.089952	0.477723	14181.831055
1910.056634	0.089996	0.477723	14266.697266
1910.057530	0.090022	0.477723	14347.357422
1910.058450	0.090066	0.477723	14430.217773
1910.059408	0.090015	0.477723	14516.452148
1911.073976	1.049740	0.448953	441.940521
1911.074958	1.561154	0.448953	1974.993286
1911.075868	1.549662	0.448953	3385.185547
1911.076762	1.510199	0.448953	4735.303711
1911.077630	1.469147	0.448953	6010.522949
1911.078633	1.428314	0.448953	7443.122070
1911.079581	1.390093	0.448953	8760.929687
1911.080476	1.355105	0.448953	9973.749023
1911.081399	1.321527	0.448953	11193.518555
1911.082326	1.286569	0.448953	12386.167969
1911.083263	1.218516	0.448953	13527.916992
1911.084134	0.265514	0.448953	13759.179687
1911.085153	0.089854	0.448953	13850.740234
1911.086081	0.089879	0.448953	13934.148437
1911.086961	0.089934	0.448953	14013.290039
1911.087859	0.090007	0.448953	14094.116211
1911.088792	0.089996	0.448953	14178.083008
1911.089725	0.089985	0.448953	14262.039062
1911.090620	0.089985	0.448953	14342.576172
1911.091531	0.089971	0.448953	14424.539062
1911.092484	0.089952	0.448953	14510.263672
1912.082496	1.055219	0.468108	450.578339
1912.083363	1.555961	0.468108	1799.596313
1912.084423	1.548398	0.468108	3440.898437
1912.085329	1.507822	0.468108	4806.985352
1912.086209	1.467913	0.468108	6098.748535
1912.087093	1.429259	0.468108	7362.213379
1912.088134	1.388053	0.468108	8807.176758
1912.089024	1.353545	0.468108	10011.832031
1912.089899	1.320923	0.468108	11167.639648
1912.090921	1.285214	0.468108	12481.127930
1912.091825	1.155912	0.468108	13526.072266
1912.092750	0.199237	0.468108	13710.366211
1912.093624	0.089919	0.468108	13788.956055
1912.094672	0.090018	0.468108	13883.294922
1912.095560	0.090026	0.468108	13963.237305
1912.096479	0.090055	0.468108	14045.998047
1912.097341	0.089897	0.468108	14123.489258
1912.098336	0.089989	0.468108	14213.028320
1912.099253	0.090044	0.468108	14295.598633
1912.100136	0.090033	0.468108	14375.097656
1912.101073	0.090004	0.468108	14459.430664
1913.095360	1.054819	0.494928	454.627075
1913.096223	1.555756	0.494928	1797.244141
1913.097290	1.547556	0.494928	3448.486572
1913.098243	1.505142	0.494928	4882.886719
1913.099125	1.465514	0.494928	6175.469727
1913.100084	1.425568	0.494928	7542.588867
1913.101127	1.383336	0.494928	8985.408203
1913.102012	1.349000	0.494928	10179.273437
1913.102879	1.316367	0.494928	11320.563477
1913.103935	1.279171	0.494928	12671.368164
1913.104882	1.011420	0.494928	13629.182617
1913.105758	0.138354	0.494928	13750.380859
1913.106694	0.089967	0.494928	13834.589844
1913.107738	0.089978	0.494928	13928.527344
1913.108628	0.089919	0.494928	14008.555664
1913.109506	0.089989	0.494928	14087.566406
1913.110435	0.090011	0.494928	14171.186523
1913.111424	0.089996	0.494928	14260.193359
1913.112324	0.089894	0.494928	14341.097656
1913.113205	0.090018	0.494928	14420.403320
1913.114334	0.090004	0.494928	14522.017578
1914.123220	1.198835	0.465755	688.131592
1914.124274	1.566548	0.465755	2339.272949
1914.125168	1.540774	0.465755	3716.724609
1914.126105	1.498586	0.465755	5120.899902
1914.127171	1.451539	0.465755	6668.240723
1914.128119	1.412238	0.465755	8007.041992
1914.128984	1.377023	0.465755	9198.166992
1914.130044	1.337201	0.465755	10615.599609
1914.131078	1.299386	0.465755	11959.165039
1914.131957	1.268115	0.465755	13073.837891
1914.132950	0.633040	0.465755	13702.446289
1914.133997	0.091688	0.465755	13798.444336
1914.134903	0.090018	0.465755	13880.000977
1914.135772	0.090044	0.465755	13958.249023
1914.136827	0.090048	0.465755	14053.249023
1914.137823	0.089996	0.465755	14142.885742
1914.138716	0.089960	0.465755	14223.219727
1914.139582	0.089916	0.465755	14301.086914
1914.140662	0.089978	0.465755	14398.263672
1914.141591	0.089985	0.465755	14481.860352
1914.142468	0.089967	0.465755	14560.761719
1915.121013	1.116453	0.536033	530.315002
1915.121897	1.560231	0.536033	1909.559082
1915.122872	1.548453	0.536033	3419.301025
1915.123934	1.501436	0.536033	5013.825684
1915.124849	1.460361	0.536033	6350.056152
1915.125709	1.422902	0.536033	7573.751465
1915.126783	1.380615	0.536033	9056.532227
1915.127776	1.342218	0.536033	10389.354492
1915.128667	1.309647	0.536033	11556.250000
1915.129656	1.274399	0.536033	12816.630859
1915.130728	0.727910	0.536033	13596.950195
1915.131638	0.096782	0.536033	13685.022461
1915.132504	0.089993	0.536033	13762.956055
1915.133606	0.090084	0.536033	13862.228516
1915.134582	0.089952	0.536033	13950.022461
1915.135454	0.090007	0.536033	14028.508789
1915.136479	0.090011	0.536033	14120.770508
1915.137515	0.090015	0.536033	14214.025391
1915.138409	0.089996	0.536033	14294.482422
1915.139305	0.090029	0.536033	14375.148437
1915.140380	0.089952	0.536033	14471.847656
1916.167351	1.164683	0.488479	634.751953
1916.168237	1.563640	0.488479	2020.137085
1916.169126	1.547640	0.488479	3395.989258
1916.170223	1.500139	0.488479	5041.641602
1916.171178	1.457963	0.488479	6433.996094
1916.172040	1.421656	0.488479	7659.463867
1916.173085	1.379952	0.488479	9101.513672
1916.174141	1.339764	0.488479	10516.304687
1916.175016	1.306685	0.488479	11659.653320
1916.175972	1.273074	0.488479	12876.711914
1916.177029	0.690912	0.488479	13607.005859
1916.177960	0.094937	0.488479	13695.391602
1916.178828	0.089941	0.488479	13773.460937
