time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7061.171956	87.167641	0.748532	0.069070	27
7063.196955	87.381325	0.748490	0.068880	29
7065.219708	87.501480	0.747147	0.068963	31
7067.242954	87.504791	0.745492	0.069275	33
7069.269014	87.168571	0.763512	0.067674	35
7071.304214	87.053513	0.790921	0.065075	37
7073.338895	86.833542	0.821418	0.062499	39
7075.373808	86.489998	0.854598	0.060488	41
7077.407273	86.122360	0.889596	0.058926	43
7079.445478	86.043106	0.919904	0.057295	45
7081.478681	86.148888	0.952306	0.054664	47
7083.510088	86.075325	0.981739	0.052680	49
7085.537293	85.876709	1.009716	0.051175	51
7087.565390	85.752213	1.033542	0.049697	53
7089.597315	85.819473	1.057081	0.048332	55
7091.628703	86.019539	1.075890	0.047095	57
7093.660828	86.218643	1.095116	0.046340	59
7095.689873	86.222351	1.118680	0.045493	61
7097.718552	86.066788	1.141436	0.044894	63
7099.747911	85.927994	1.167200	0.044042	65
7101.779215	85.782043	1.188383	0.043102	67
7103.810182	85.659874	1.209128	0.042574	69
7105.841362	85.454086	1.225721	0.041580	71
7107.872120	85.239090	1.241072	0.041025	73
7109.903051	85.039291	1.253742	0.040633	75
7111.933450	84.967529	1.265289	0.039995	77
7113.962533	85.046494	1.277356	0.039552	79
7115.989012	85.286667	1.289495	0.039311	81
7118.013825	85.630547	1.300925	0.038761	83
7120.039950	85.914093	1.310871	0.037880	85
7122.068513	86.041702	1.321059	0.037141	87
7124.098470	85.960114	1.330162	0.036878	89
7126.127942	85.805374	1.340990	0.036984	91
7128.156772	85.636009	1.353666	0.036847	93
7130.185278	85.484467	1.363709	0.036726	95
7132.214025	85.439758	1.373597	0.036623	97
7134.242177	85.468269	1.382344	0.036469	99
7136.269875	85.538452	1.389615	0.036468	101
7138.297600	85.616592	1.395258	0.036245	103
7140.324847	85.681709	1.401293	0.035946	105
7142.352105	85.686211	1.404806	0.035446	107
7144.379299	85.696877	1.409169	0.035254	109
7146.406838	85.671127	1.412523	0.035205	111
7148.435208	85.547775	1.419492	0.035156	113
7150.463490	85.471664	1.429956	0.035194	115
7152.492263	85.409332	1.440498	0.035291	117
7154.521757	85.475647	1.447442	0.035298	119
7156.551672	85.577827	1.453962	0.035247	121
7158.580061	85.667152	1.461962	0.034843	123
7160.606605	85.617996	1.469088	0.034573	125
7162.632742	85.562119	1.473932	0.034257	127
7164.659100	85.513512	1.477255	0.034268	129
7166.685386	85.548988	1.480394	0.034175	131
7168.712588	85.587074	1.482871	0.034330	133
7170.740291	85.712753	1.486902	0.034409	135
7172.768227	85.771431	1.490949	0.034438	137
7174.796142	85.836304	1.494493	0.034410	139
7176.824227	85.834770	1.497704	0.034230	141
7178.852344	85.800735	1.501527	0.033819	143
7180.880381	85.674103	1.509205	0.034162	145
7182.908599	85.553558	1.515596	0.033975	147
7184.937021	85.405380	1.520226	0.033795	149
7186.965982	85.310760	1.523893	0.033565	151
7188.994246	85.265724	1.526066	0.033786	153
7191.021206	85.298309	1.528262	0.034026	155
7193.046840	85.495949	1.531437	0.033958	157
7195.072115	85.737122	1.533924	0.033946	159
7197.097745	85.992760	1.536595	0.033448	161
7199.124454	86.164757	1.537107	0.033082	163
7201.152187	86.229568	1.538663	0.032983	165
7203.180402	86.272415	1.541945	0.033047	167
7205.208413	86.205658	1.545319	0.033348	169
7207.236420	86.197289	1.548384	0.033343	171
7209.264278	86.201225	1.549945	0.033510	173
7211.291695	86.196732	1.551269	0.033232	175
7213.318930	86.206894	1.552211	0.033180	177
7215.346065	86.195587	1.553453	0.033007	179
7217.373318	86.207581	1.554694	0.032780	181
7219.400493	86.174805	1.558271	0.032723	183
7221.427818	86.102325	1.562163	0.032626	185
7223.455515	86.025818	1.564125	0.032680	187
7225.483236	85.903435	1.569078	0.032734	189
7227.511186	85.829590	1.574546	0.032905	191
7229.539926	85.836334	1.578984	0.032834	193
7231.569033	85.902878	1.584386	0.033012	195
7233.597639	86.008255	1.585539	0.033083	197
7235.625363	86.059341	1.587945	0.032603	199
7237.652161	86.057121	1.591357	0.032353	201
7239.678842	86.043457	1.595886	0.032042	203
7241.705310	85.974907	1.597589	0.031954	205
7243.731942	85.976959	1.597662	0.031766	207
7245.758997	85.977776	1.598232	0.031901	209
7247.786329	85.961632	1.600564	0.031753	211
7249.813589	85.944237	1.601858	0.031766	213
7251.841017	85.928696	1.603465	0.031839	215
7253.868930	85.901619	1.604470	0.031843	217
7255.896755	85.853508	1.606781	0.031872	219
7257.924556	85.789154	1.607882	0.031904	221
7259.952498	85.783569	1.609128	0.031621	223
7261.979938	85.819138	1.599243	0.031453	225
7264.006398	85.829971	1.598454	0.031661	227
7266.032353	85.938614	1.597668	0.031254	229
7268.058029	86.102562	1.595613	0.031316	231
7270.083582	86.258286	1.593292	0.031347	233
7272.109508	86.426239	1.591404	0.031183	235
7274.135578	86.566269	1.588076	0.031475	237
7276.162249	86.637939	1.586204	0.031461	239
7278.188972	86.677277	1.584249	0.031525	241
7280.215798	86.660866	1.583081	0.031527	243
7282.242906	86.648697	1.580731	0.031351	245
7284.269841	86.652695	1.579021	0.031237	247
7286.296508	86.618835	1.575702	0.031277	249
7288.323425	86.618889	1.574228	0.031212	251
7290.350440	86.579071	1.572918	0.031442	253
7292.377216	86.549370	1.570541	0.031274	255
7294.404402	86.528252	1.567236	0.031277	1
7296.431883	86.495132	1.565153	0.031421	3
7298.459716	86.431541	1.560686	0.031205	5
7300.487742	86.445290	1.558180	0.031300	7
7302.515724	86.443939	1.554019	0.031353	9
7304.543652	86.510475	1.552149	0.031318	11
7306.571139	86.534729	1.549086	0.031069	13
7308.598230	86.529480	1.548223	0.031302	15
7310.624787	86.556190	1.547629	0.031100	17
7312.651551	86.558052	1.546522	0.031073	19
7314.678046	86.572006	1.546059	0.031207	21
7316.704423	86.536285	1.544116	0.031243	23
7318.731113	86.553795	1.542712	0.031268	25
7320.757868	86.567696	1.541508	0.031275	27
7322.784592	86.553871	1.536609	0.031314	29
7324.811668	86.538254	1.533002	0.031115	31
7326.838925	86.527145	1.531005	0.031252	33
7328.866182	86.520691	1.528893	0.031338	35
7330.893154	86.487984	1.525484	0.031274	37
7332.920166	86.471741	1.522724	0.031095	39
