crossing time (s)	slope (V/s)	crossing number
7060.142089	2.734852	4890
7061.168259	2.684054	4891
7062.163717	2.967959	4892
7063.198269	3.432352	4893
7064.196847	3.438893	4894
7065.217698	2.940179	4895
7066.225473	3.410710	4896
7067.242037	3.275948	4897
7068.253657	3.760619	4898
7069.271565	3.872573	4899
7070.290478	3.129407	4900
7071.302041	4.137087	4901
7072.323132	5.128696	4902
7073.336222	4.405104	4903
7074.350937	4.386302	4904
7075.368999	4.324820	4905
7076.384021	5.036969	4906
7077.408815	4.778582	4907
7078.410945	5.422736	4908
7079.443976	3.709328	4909
7080.442997	4.685635	4910
7081.476906	4.917309	4911
7082.478395	5.665767	4912
7083.508027	5.787874	4913
7084.514882	6.831843	4914
7085.536354	6.365009	4915
7086.544558	7.299692	4916
7087.563685	5.957136	4917
7088.579233	6.091385	4918
7089.596867	5.926586	4919
7090.613046	5.936520	4920
7091.627214	6.170387	4921
7092.646849	6.460863	4922
7093.659300	5.939224	4923
7094.679652	6.509656	4924
7095.684334	4.724102	4925
7096.700358	4.111837	4926
7097.719663	4.680070	4927
7098.738577	4.593594	4928
7099.747325	6.142726	4929
7100.762855	6.442587	4930
7101.779383	7.033303	4931
7102.791604	7.587297	4932
7103.809764	7.821554	4933
7104.818875	8.654749	4934
7105.841481	9.101066	4935
7106.848364	9.933965	4936
7107.870534	10.621459	4937
7108.877742	10.965845	4938
7109.903177	11.541797	4939
7110.910197	11.064792	4940
7111.934394	12.139884	4941
7112.941538	10.700555	4942
7113.964997	11.910445	4943
7114.971224	10.170706	4944
7115.991262	10.819297	4945
7117.000564	9.710927	4946
7118.014247	9.733331	4947
7119.028137	9.573683	4948
7120.038925	9.278548	4949
7121.058582	9.475175	4950
7122.068244	9.105973	4951
7123.088506	9.493832	4952
7124.100729	9.399132	4953
7125.117366	9.381408	4954
7126.128923	9.833789	4955
7127.143238	9.081114	4956
7128.157069	10.216347	4957
7129.167537	9.135361	4958
7130.184795	10.502650	4959
7131.194880	9.246149	4960
7132.215390	10.666786	4961
7133.223195	9.521580	4962
7134.243511	10.898915	4963
7135.251867	10.097161	4964
7136.270162	11.183518	4965
7137.283345	10.584722	4966
7138.299232	11.564652	4967
7139.313774	11.637472	4968
7140.326538	11.977615	4969
7141.342534	12.166520	4970
7142.354788	12.479711	4971
7143.371721	13.082026	4972
7144.382894	12.756147	4973
7145.400728	13.329247	4974
7146.410772	12.676677	4975
7147.428084	13.457015	4976
7148.439100	12.820162	4977
7149.453986	13.148424	4978
7150.465763	12.569881	4979
7151.476223	12.284254	4980
7152.492172	12.015854	4981
7153.500147	11.695861	4982
7154.520546	11.197706	4983
7155.527167	10.913024	4984
7156.552716	11.218587	4985
7157.557491	11.101695	4986
7158.582345	11.677462	4987
7159.585779	11.971646	4988
7160.608249	12.120099	4989
7161.613426	12.820561	4990
7162.633355	12.244938	4991
7163.642103	13.078134	4992
7164.660093	12.116538	4993
7165.668547	12.836932	4994
