time (s)	coil I (A)	last det (V)	int current (uC)
7068.415458	1.103346	0.511725	477.748749
7068.416413	1.560784	0.511725	1968.297241
7068.417292	1.548549	0.511725	3329.471436
7068.418211	1.507822	0.511725	4715.160156
7068.419181	1.464829	0.511725	6136.044434
7068.420107	1.425926	0.511725	7456.452148
7068.420975	1.389983	0.511725	8662.957031
7068.421959	1.352959	0.511725	9994.268555
7068.422909	1.317469	0.511725	11245.864258
7068.423792	1.284617	0.511725	12380.180664
7068.424684	1.252500	0.511725	13497.411133
7068.425649	1.219915	0.511725	14674.628906
7068.426603	1.188768	0.511725	15808.713867
7068.427500	1.160413	0.511725	16849.603516
7068.428416	1.133207	0.511725	17887.621094
7068.429397	0.461440	0.511725	18340.294922
7068.430324	0.090974	0.511725	18424.628906
7068.431187	0.089956	0.511725	18502.261719
7068.432153	0.089971	0.511725	18589.173828
7068.433085	0.089967	0.511725	18673.023437
7068.434000	0.090026	0.511725	18755.396484
7068.434857	0.089949	0.511725	18832.482422
7068.435806	0.089949	0.511725	18917.843750
7068.436758	0.089923	0.511725	19003.451172
7068.437650	0.090004	0.511725	19083.734375
7068.438559	0.089956	0.511725	19165.503906
7069.431283	1.125033	0.561004	531.015503
7069.432176	1.558652	0.561004	1922.892090
7069.433098	1.548051	0.561004	3350.194824
7069.433963	1.508705	0.561004	4655.224609
7069.434957	1.465635	0.561004	6112.065430
7069.435889	1.426333	0.561004	7441.407715
7069.436772	1.390316	0.561004	8669.056641
7069.437702	1.354845	0.561004	9929.062500
7069.438644	1.318949	0.561004	11171.512695
7069.439582	1.285060	0.561004	12376.898437
7069.440460	1.254053	0.561004	13477.957031
7069.441399	1.221050	0.561004	14624.522461
7069.442364	1.189614	0.561004	15772.500000
7069.443291	1.160533	0.561004	16848.314453
7069.444162	1.133906	0.561004	17835.947266
7069.445120	0.523608	0.561004	18337.564453
7069.446068	0.092201	0.561004	18424.970703
7069.446958	0.089974	0.561004	18505.048828
7069.447874	0.089923	0.561004	18587.417969
7069.448786	0.089894	0.561004	18669.400391
7069.449700	0.089996	0.561004	18751.656250
7069.450579	0.089908	0.561004	18830.685547
7069.451566	0.089993	0.561004	18919.507812
7069.452516	0.089971	0.561004	19004.980469
7069.453407	0.090026	0.561004	19085.193359
7069.454323	0.089974	0.561004	19167.609375
7070.454747	1.076265	0.582056	476.785217
7070.455635	1.555734	0.582056	1858.276611
7070.456501	1.551412	0.582056	3201.799805
7070.457463	1.510719	0.582056	4655.111328
7070.458412	1.467081	0.582056	6047.371582
7070.459335	1.427955	0.582056	7365.374023
7070.460216	1.392037	0.582056	8591.758789
7070.461175	1.353831	0.582056	9890.082031
7070.462143	1.318217	0.582056	11166.115234
7070.463069	1.285133	0.582056	12356.148437
7070.463936	1.253983	0.582056	13443.351562
7070.464914	1.221482	0.582056	14637.960937
7070.465839	1.190892	0.582056	15739.536133
7070.466702	1.162859	0.582056	16743.083984
7070.467716	1.132885	0.582056	17891.828125
7070.468605	0.516423	0.582056	18350.927734
7070.469519	0.092102	0.582056	18435.109375
7070.470397	0.090044	0.582056	18514.167969
7070.471389	0.089974	0.582056	18603.421875
7070.472307	0.089985	0.582056	18686.029297
7070.473194	0.090011	0.582056	18765.869141
7070.474071	0.089985	0.582056	18844.787109
7070.475018	0.090007	0.582056	18930.023437
7070.475968	0.089996	0.582056	19015.519531
7070.476847	0.090051	0.582056	19094.673828
7070.477755	0.089945	0.582056	19176.343750
7071.466541	1.122257	0.664934	603.774353
7071.467571	1.563527	0.664934	2214.206787
7071.468451	1.541221	0.664934	3570.480957
7071.469317	1.502051	0.664934	4871.256836
7071.470368	1.455491	0.664934	6400.977539
7071.471306	1.416475	0.664934	7729.630859
7071.472187	1.381241	0.664934	8946.504883
7071.473152	1.344803	0.664934	10244.240234
7071.474196	1.305886	0.664934	11607.584961
7071.475098	1.273564	0.664934	12756.339844
7071.475981	1.242733	0.664934	13853.672852
7071.476957	1.210386	0.664934	15035.009766
7071.477926	1.178265	0.664934	16176.749023
7071.478846	1.149551	0.664934	17234.335937
7071.479715	1.074133	0.664934	18167.757812
7071.480761	0.170977	0.664934	18346.599609
7071.481633	0.089872	0.664934	18424.968750
7071.482503	0.089993	0.664934	18503.261719
7071.483404	0.089901	0.664934	18584.261719
7071.484397	0.089901	0.664934	18673.533203
7071.485325	0.090007	0.664934	18757.060547
7071.486208	0.089960	0.664934	18836.494141
7071.487202	0.089985	0.664934	18925.939453
7071.488123	0.089927	0.664934	19008.761719
7071.489047	0.089978	0.664934	19091.902344
7072.490508	1.118379	0.689113	562.544556
7072.491396	1.559637	0.689113	1947.502563
7072.492264	1.546967	0.689113	3290.269531
7072.493373	1.499539	0.689113	4953.257812
7072.494356	1.456435	0.689113	6384.933594
7072.495232	1.419719	0.689113	7628.607422
7072.496115	1.382681	0.689113	8849.514648
7072.497220	1.342335	0.689113	10332.794922
7072.498126	1.308292	0.689113	11518.107422
7072.498995	1.277175	0.689113	12627.972656
7072.500059	1.240382	0.689113	13947.739258
7072.501044	1.206965	0.689113	15136.599609
7072.501927	1.178060	0.689113	16176.827148
7072.502819	1.149467	0.689113	17202.152344
7072.503906	0.960297	0.689113	18245.994141
7072.504791	0.145411	0.689113	18374.683594
7072.505649	0.089934	0.689113	18451.847656
7072.506704	0.089985	0.689113	18546.781250
7072.507659	0.089857	0.689113	18632.595703
7072.508536	0.089963	0.689113	18711.494141
7072.509401	0.089960	0.689113	18789.308594
7072.510515	0.089996	0.689113	18889.564453
7072.511422	0.090004	0.689113	18971.197266
7072.512290	0.089960	0.689113	19049.283203
7072.513347	0.090048	0.689113	19144.462891
7073.500164	1.117412	0.700344	554.236389
