time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2316.240805	333.038361	0.663170	-0.032704	111
2318.265480	333.383026	0.674993	-0.032654	113
2320.298779	333.905701	0.704901	-0.030606	115
2322.331042	334.161591	0.731736	-0.029011	117
2324.364541	334.313721	0.758378	-0.027767	119
2326.399982	334.370331	0.785989	-0.026738	121
2328.434755	334.284515	0.814502	-0.026008	123
2330.466890	334.040558	0.844693	-0.024833	125
2332.496639	333.628448	0.875786	-0.023826	127
2334.523594	333.085907	0.905657	-0.022596	129
2336.548118	332.450439	0.932593	-0.021658	131
2338.571822	331.836395	0.952414	-0.020198	133
2340.596713	331.491638	0.968286	-0.018249	135
2342.627820	331.679260	0.987340	-0.016051	137
2344.665574	332.479584	1.012296	-0.014188	139
2346.705887	333.579285	1.032317	-0.014067	141
2348.743491	334.378296	1.053314	-0.014614	143
2350.780541	334.596375	1.071637	-0.015138	145
2352.813403	334.255005	1.089676	-0.015639	147
2354.843318	333.666290	1.108256	-0.015118	149
2356.871250	333.164185	1.125787	-0.014301	151
2358.899713	332.823975	1.139593	-0.013719	153
2360.929331	332.595947	1.153016	-0.013397	155
2362.959322	332.443573	1.164211	-0.013248	157
2364.989575	332.340302	1.175662	-0.012879	159
2367.018927	332.267242	1.187381	-0.012308	161
2369.047251	332.375793	1.202715	-0.011437	163
2371.073110	332.653900	1.220869	-0.009918	165
2373.095522	333.055084	1.236902	-0.008903	167
2375.115709	333.518890	1.247285	-0.008638	169
2377.136840	333.777130	1.247887	-0.008351	171
2379.161268	333.713989	1.245947	-0.008785	173
2381.189755	333.393341	1.247994	-0.008792	175
2383.221334	332.891388	1.257404	-0.008379	177
2385.253968	332.466217	1.269632	-0.008058	179
2387.285910	332.199158	1.279576	-0.007692	181
2389.316745	332.080872	1.286933	-0.007421	183
2391.346039	332.019348	1.293617	-0.007109	185
2393.374916	332.075348	1.301573	-0.007052	187
2395.403521	332.131836	1.308409	-0.006940	189
2397.431091	332.179932	1.315410	-0.006640	191
2399.458424	332.177948	1.323267	-0.006510	193
2401.484976	332.151489	1.330111	-0.006695	195
2403.510245	332.034210	1.336772	-0.006668	197
2405.534935	331.861053	1.340639	-0.006565	199
2407.559077	331.684998	1.341205	-0.006498	201
2409.583366	331.536621	1.338435	-0.006272	203
2411.609255	331.527710	1.337084	-0.005838	205
2413.636973	331.741425	1.341956	-0.005128	207
2415.667783	332.205414	1.352886	-0.004186	209
2417.699735	332.826355	1.363796	-0.004140	211
2419.732394	333.373047	1.370366	-0.004333	213
2421.765206	333.610779	1.371638	-0.004291	215
2423.796954	333.527069	1.374499	-0.004615	217
2425.827111	333.304108	1.376719	-0.005160	219
2427.855892	332.961182	1.381511	-0.004605	221
2429.883246	332.670746	1.385598	-0.004273	223
2431.910910	332.449005	1.388530	-0.004185	225
2433.938284	332.299286	1.391670	-0.003735	227
2435.965420	332.211273	1.397007	-0.003332	229
2437.991810	332.227570	1.403531	-0.003003	231
2440.016016	332.391541	1.398364	-0.002292	233
2442.038396	332.628723	1.404367	-0.001433	235
2444.059803	332.975433	1.409908	-0.001195	237
2446.080329	333.289124	1.410066	-0.001260	239
2448.101965	333.434967	1.403094	-0.001294	241
2450.125934	333.339813	1.395121	-0.000984	243
2452.152402	333.097382	1.389586	-0.000654	245
2454.180294	332.779938	1.385889	-0.000258	247
2456.208276	332.475342	1.383947	-0.000263	249
2458.236536	332.217712	1.382965	-0.000039	251
2460.264403	332.068542	1.380553	0.000208	253
2462.292114	331.972992	1.378147	0.000213	255
2464.319210	331.912476	1.375704	0.000285	1
2466.345519	331.893250	1.374755	0.000331	3
2468.371402	331.893890	1.373980	0.000355	5
2470.396043	331.781006	1.372431	0.000230	7
2472.420768	331.772278	1.371072	0.000574	9
2474.445214	331.721466	1.368492	0.000981	11
2476.470491	331.766602	1.364492	0.001392	13
2478.497306	331.856171	1.362866	0.002146	15
2480.525837	332.103577	1.359989	0.002475	17
2482.556614	332.465607	1.358452	0.003445	19
2484.588471	332.904205	1.353424	0.003975	21
2486.620602	333.156433	1.347718	0.004186	23
2488.651306	333.196075	1.341097	0.003835	25
2490.680222	333.043579	1.335165	0.003656	27
2492.707621	332.824341	1.331659	0.003573	29
2494.734328	332.564331	1.329195	0.003684	31
2496.760883	332.349701	1.326628	0.003964	33
2498.787301	332.191528	1.324418	0.004465	35
2500.813254	332.125427	1.323609	0.005003	37
2502.839109	332.169403	1.326749	0.005129	39
2504.863026	332.314026	1.332030	0.005474	41
2506.885904	332.537201	1.338896	0.005819	43
2508.907575	332.852539	1.344260	0.006341	45
2510.928589	333.116241	1.344222	0.006708	47
2512.950312	333.301819	1.339881	0.007032	49
2514.973859	333.319061	1.333496	0.007294	51
2516.999187	333.120667	1.327287	0.007397	53
2519.026148	332.886749	1.323117	0.008055	55
2521.054219	332.615601	1.320160	0.008765	57
2523.082085	332.347290	1.317309	0.008971	59
2525.109624	332.186127	1.315791	0.008973	61
2527.136552	332.085754	1.315079	0.009381	63
2529.163080	331.986603	1.313395	0.009346	65
2531.189060	331.945221	1.311807	0.009559	67
2533.214403	331.910645	1.310349	0.009487	69
2535.239572	331.908447	1.308312	0.009414	71
2537.264752	331.907715	1.306263	0.009691	73
2539.290493	331.915588	1.303954	0.009959	75
2541.317568	331.994385	1.301093	0.010189	77
2543.345745	332.151917	1.300673	0.010936	79
2545.376011	332.398041	1.298327	0.011399	81
2547.407381	332.684875	1.294933	0.011744	83
