time (s)	det(V)
2315.689798	-0.005248	
2315.691326	-0.004519	
2315.692881	-0.002569	
2315.694375	-0.004354	
2315.695959	-0.004366	
2315.697468	-0.003544	
2315.699041	-0.003754	
2315.700572	-0.005566	
2315.702127	-0.005973	
2315.703669	-0.004692	
2315.705182	-0.006372	
2315.706748	-0.007129	
2315.708271	-0.005143	
2315.709854	-0.004088	
2315.711346	-0.005905	
2315.712920	-0.004184	
2315.714440	-0.004217	
2315.716026	-0.003987	
2315.717531	-0.006259	
2315.719092	-0.005417	
2315.720618	-0.006203	
2315.722124	-0.006545	
2315.723674	-0.007842	
2315.725189	-0.005723	
2315.726757	-0.004881	
2315.728247	-0.006279	
2315.729820	-0.005603	
2315.731337	-0.005719	
2315.732916	-0.006763	
2315.734411	-0.008914	
2315.735973	-0.008672	
2315.737501	-0.009776	
2315.739068	-0.011230	
2315.740825	-0.011875	
2315.742309	-0.010763	
2315.744072	-0.012132	
2315.745562	-0.013575	
2315.747338	-0.013212	
2315.748834	-0.013861	
2315.750574	-0.017728	
2315.752096	-0.019673	
2315.753838	-0.020000	
2315.755360	-0.022812	
2315.757070	-0.024419	
2315.758603	-0.024592	
2315.760306	-0.025035	
2315.761863	-0.027831	
2315.763543	-0.028649	
2315.765097	-0.030050	
2315.766757	-0.033680	
2315.768345	-0.037044	
2315.770014	-0.037257	
2315.771603	-0.040911	
2315.773239	-0.043416	
2315.774833	-0.044162	
2315.776454	-0.044411	
2315.778075	-0.048456	
2315.779675	-0.049338	
2315.781345	-0.051235	
2315.782920	-0.054607	
2315.784602	-0.058700	
2315.786184	-0.059502	
2315.787839	-0.062696	
2315.789408	-0.065778	
2315.791114	-0.067731	
2315.792652	-0.067884	
2315.794368	-0.071115	
2315.795875	-0.073061	
2315.797631	-0.074974	
2315.799129	-0.076948	
2315.800897	-0.081806	
2315.802390	-0.083716	
2315.804178	-0.085287	
2315.805669	-0.088417	
2315.807382	-0.090403	
2315.808867	-0.090701	
2315.810555	-0.092687	
2315.812065	-0.094894	
2315.813724	-0.095736	
2315.815265	-0.097275	
2315.816869	-0.100276	
2315.818439	-0.103136	
2315.820026	-0.103068	
2315.821636	-0.106351	
2315.823201	-0.107926	
2315.824821	-0.108393	
2315.826334	-0.107608	
2315.828023	-0.110516	
2315.829512	-0.110214	
2315.831228	-0.111572	
2315.832717	-0.113477	
2315.834437	-0.116196	
2315.835926	-0.116353	
2315.837648	-0.117348	
2315.839133	-0.118976	
2315.840824	-0.119330	
2315.842306	-0.118581	
2315.843944	-0.119817	
2315.845466	-0.122134	
2315.847029	-0.120853	
2315.848581	-0.121316	
2315.850094	-0.124305	
2315.851727	-0.126625	
2315.853221	-0.125191	
2315.854839	-0.127963	
2315.856359	-0.130066	
2315.857997	-0.129651	
2315.859472	-0.128051	
2315.861118	-0.130654	
2315.862602	-0.132035	
2315.864243	-0.133433	
2315.865724	-0.134710	
2315.867357	-0.138062	
2315.868861	-0.139858	
2315.870446	-0.141151	
2315.871996	-0.144253	
2315.873505	-0.145941	
2315.875113	-0.146832	
2315.876597	-0.148455	
2315.878168	-0.152334	
2315.879693	-0.152975	
2315.881279	-0.155557	
2315.882788	-0.158828	
2315.884339	-0.164081	
2315.885886	-0.166731	
2315.887424	-0.169144	
2315.888992	-0.173567	
2315.890484	-0.177358	
2315.892079	-0.178856	
2315.893602	-0.181370	
2315.895198	-0.187284	
2315.896685	-0.189636	
2315.898266	-0.193906	
2315.899790	-0.199079	
2315.901356	-0.205174	
2315.902880	-0.208847	
2315.904394	-0.214072	
2315.905976	-0.219180	
2315.907494	-0.223269	
2315.909092	-0.226487	
2315.910576	-0.231176	
2315.912185	-0.236917	
2315.913691	-0.240172	
2315.915296	-0.244921	
2315.916792	-0.251250	
2315.918383	-0.257912	
2315.919885	-0.261473	
2315.921411	-0.268124	
2315.922963	-0.273784	
2315.924500	-0.277546	
2315.926098	-0.281059	
2315.927577	-0.286900	
2315.929173	-0.291819	
2315.930698	-0.296339	
2315.932307	-0.301358	
2315.933794	-0.308508	
2315.935369	-0.313495	
2315.936898	-0.316492	
2315.938473	-0.322410	
2315.940007	-0.327494	
2315.941550	-0.330180	
2315.943103	-0.332581	
2315.944625	-0.338370	
2315.946192	-0.341830	
2315.947693	-0.344864	
2315.949286	-0.348948	
2315.950807	-0.354834	
2315.952413	-0.357525	
2315.953908	-0.359486	
2315.955495	-0.364043	
2315.957003	-0.367608	
2315.958565	-0.367446	
2315.960102	-0.369251	
2315.961642	-0.372877	
2315.963227	-0.373686	
2315.964723	-0.374987	
2315.966303	-0.377461	
2315.967836	-0.381501	
2315.969446	-0.381832	
2315.970944	-0.383511	
2315.972514	-0.385308	
2315.974029	-0.386275	
2315.975593	-0.385558	
2315.977117	-0.385912	
2315.978652	-0.387971	
2315.980219	-0.386420	
2315.981745	-0.386762	
2315.983319	-0.388921	
2315.984815	-0.390936	
2315.986404	-0.390041	
2315.987905	-0.391375	
2315.989496	-0.391520	
2315.990996	-0.390766	
2315.992555	-0.388909	
2315.994096	-0.390650	
2315.995673	-0.390811	
2315.997194	-0.389941	
2315.998692	-0.390170	
2316.000497	-0.393566	
2316.002025	-0.393989	
2316.003760	-0.392237	
2316.005292	-0.394295	
2316.007008	-0.395524	
2316.008548	-0.394956	
2316.010249	-0.395798	
2316.011802	-0.396881	
2316.013484	-0.396217	
2316.015050	-0.397208	
2316.016686	-0.400402	
2316.018285	-0.403298	
2316.019934	-0.402924	
2316.021530	-0.405385	
2316.023182	-0.407009	
2316.024787	-0.407081	
2316.026418	-0.406726	
2316.028055	-0.408318	
2316.029642	-0.408588	
2316.031310	-0.409111	
2316.032904	-0.409849	
2316.034577	-0.413019	
2316.036157	-0.412632	
2316.037830	-0.414896	
2316.039405	-0.417458	
2316.041108	-0.418884	
2316.042656	-0.417817	
2316.044368	-0.419803	
2316.045907	-0.420930	
2316.047628	-0.421845	
2316.049141	-0.422493	
2316.050897	-0.425797	
2316.052397	-0.425635	
2316.054181	-0.426639	
2316.055667	-0.428016	
2316.057461	-0.427674	
2316.058944	-0.425668	
2316.060725	-0.426063	
2316.062211	-0.426993	
2316.063991	-0.424524	
2316.065501	-0.423299	
2316.067165	-0.423843	
2316.068687	-0.422735	
2316.070345	-0.420084	
2316.071882	-0.419307	
2316.073520	-0.415903	
2316.075081	-0.412298	
2316.076673	-0.409583	
2316.078282	-0.409119	
2316.079843	-0.407436	
2316.081463	-0.404648	
2316.082987	-0.402779	
2316.084660	-0.400781	
2316.086139	-0.395157	
2316.087862	-0.390863	
2316.089339	-0.386952	
2316.091039	-0.380897	
2316.092528	-0.374250	
2316.094240	-0.369437	
2316.095738	-0.365485	
2316.097460	-0.357823	
2316.098951	-0.352066	
2316.100637	-0.348961	
2316.102134	-0.344541	
2316.103718	-0.337367	
2316.105248	-0.333149	
2316.106794	-0.328513	
2316.108428	-0.321250	
2316.109919	-0.314281	
2316.111565	-0.310720	
2316.113073	-0.303521	
2316.114724	-0.297946	
2316.116214	-0.294038	
2316.117865	-0.291396	
2316.119337	-0.285281	
2316.120962	-0.280689	
2316.122436	-0.276189	
2316.124085	-0.271145	
2316.125564	-0.264583	
2316.127160	-0.258992	
2316.128691	-0.255278	
2316.130239	-0.249723	
2316.131847	-0.245461	
2316.133336	-0.242448	
2316.134996	-0.239092	
2316.136495	-0.233070	
2316.138124	-0.230318	
2316.139643	-0.225799	
2316.141230	-0.220103	
2316.142725	-0.213915	
2316.144283	-0.211937	
2316.145795	-0.208521	
2316.147332	-0.203313	
2316.148885	-0.198338	
2316.150370	-0.196891	
2316.151946	-0.193918	
2316.153465	-0.188847	
2316.155061	-0.187360	
2316.156558	-0.184347	
2316.158135	-0.179586	
2316.159657	-0.175211	
2316.161249	-0.173483	
2316.162738	-0.170357	
2316.164297	-0.166655	
2316.165826	-0.163331	
2316.167386	-0.162679	
2316.168910	-0.160141	
2316.170406	-0.156052	
2316.172005	-0.155029	
2316.173517	-0.152781	
2316.175132	-0.148386	
2316.176621	-0.144181	
2316.178187	-0.143206	
2316.179715	-0.139270	
2316.181250	-0.136579	
2316.182799	-0.134444	
2316.184328	-0.133981	
2316.185909	-0.131012	
2316.187404	-0.127491	
2316.188976	-0.125034	
2316.190508	-0.121989	
2316.192103	-0.116945	
2316.193615	-0.113747	
2316.195170	-0.111503	
2316.196709	-0.106464	
2316.198275	-0.102866	
2316.199801	-0.100574	
2316.201331	-0.098786	
2316.202890	-0.093613	
2316.204418	-0.090777	
2316.206005	-0.086721	
2316.207500	-0.083148	
2316.209081	-0.077278	
2316.210616	-0.073725	
2316.212216	-0.070068	
2316.213727	-0.065387	
2316.215262	-0.061012	
2316.216827	-0.058374	
2316.218346	-0.056492	
2316.219916	-0.050969	
2316.221422	-0.048903	
2316.223020	-0.044726	
2316.224515	-0.040073	
2316.226105	-0.033881	
2316.227597	-0.031541	
2316.229179	-0.028447	
2316.230685	-0.023533	
2316.232239	-0.020757	
2316.233770	-0.018924	
2316.235320	-0.016108	
2316.236862	-0.010674	
2316.238377	-0.009047	
2316.239937	-0.004865	
2316.241455	0.000283	
2316.243045	0.007103	
2316.244540	0.009004	
2316.246101	0.013967	
2316.247621	0.017516	
2316.249178	0.021061	
2316.250710	0.021758	
2316.252227	0.025645	
2316.253798	0.030157	
2316.255312	0.031446	
2316.256882	0.034620	
2316.258394	0.043273	
2316.259981	0.048599	
2316.261473	0.050431	
2316.263070	0.055632	
2316.264606	0.060095	
2316.266210	0.061811	
2316.267701	0.062641	
2316.269257	0.067197	
2316.270794	0.071475	
2316.272343	0.073103	
2316.274083	0.077776	
2316.275568	0.082590	
2316.277367	0.086698	
2316.278856	0.088060	
2316.280633	0.092918	
2316.282124	0.096862	
2316.283878	0.099114	
2316.285386	0.100814	
2316.287160	0.104782	
2316.288676	0.106917	
2316.290406	0.110522	
2316.291923	0.115432	
2316.293627	0.120701	
2316.295170	0.122603	
2316.296888	0.127763	
2316.298449	0.131582	
2316.300161	0.133721	
2316.301704	0.136875	
2316.303393	0.142523	
2316.304960	0.145701	
2316.306628	0.150124	
2316.308215	0.156159	
2316.309857	0.161919	
2316.311468	0.165412	
2316.313089	0.170769	
2316.314720	0.176623	
2316.316343	0.178713	
2316.317990	0.181332	
2316.319573	0.187874	
2316.321249	0.190855	
2316.322833	0.195153	
2316.324530	0.201260	
2316.326094	0.207258	
2316.327778	0.210738	
2316.329257	0.215673	
2316.330978	0.221011	
2316.332462	0.225248	
2316.334194	0.228254	
2316.335694	0.234771	
2316.337425	0.237692	
2316.338920	0.241454	
2316.340616	0.246276	
2316.342111	0.251868	
2316.343785	0.256915	
2316.345305	0.260017	
2316.346956	0.264645	
2316.348499	0.269056	
2316.350115	0.272215	
2316.351692	0.274333	
2316.353264	0.278966	
2316.354881	0.281363	
2316.356435	0.284360	
2316.358065	0.289420	
2316.359573	0.294209	
2316.361258	0.296542	
2316.362748	0.300719	
2316.364477	0.305283	
2316.365973	0.306620	
2316.367615	0.306951	
2316.369094	0.311132	
2316.370741	0.314862	
2316.372216	0.315668	
2316.373832	0.318274	
2316.375351	0.322847	
2316.376917	0.326077	
2316.378480	0.325985	
2316.379973	0.328958	
2316.381658	0.331403	
2316.383144	0.331942	
2316.384762	0.332954	
2316.386284	0.335338	
2316.387924	0.333836	
2316.389404	0.335814	
2316.391058	0.338658	
2316.392533	0.341816	
2316.394173	0.338597	
2316.395657	0.338392	
2316.397210	0.341864	
2316.398752	0.344112	
2316.400249	0.341655	
2316.401837	0.342178	
2316.403362	0.346984	
2316.404956	0.347754	
2316.406451	0.347399	
2316.408043	0.347427	
2316.409532	0.349103	
2316.411129	0.347786	
2316.412605	0.349377	
2316.414184	0.351097	
2316.415672	0.352120	
2316.417200	0.352290	
2316.418777	0.354457	
2316.420279	0.357913	
2316.421853	0.357708	
2316.423379	0.356290	
2316.424984	0.358090	
2316.426469	0.360672	
2316.428039	0.359670	
2316.429563	0.361845	
2316.431136	0.364733	
2316.432656	0.367307	
2316.434217	0.367505	
2316.435731	0.370421	
2316.437237	0.373720	
2316.438837	0.375029	
2316.440331	0.378385	
2316.441933	0.381418	
2316.443436	0.381664	
2316.445050	0.381531	
2316.446560	0.383243	
2316.448077	0.383106	
2316.449665	0.382728	
2316.451197	0.382510	
2316.452773	0.385249	
2316.454262	0.384077	
2316.455835	0.383896	
2316.457361	0.383590	
2316.458964	0.385765	
2316.460463	0.385471	
2316.462042	0.384855	
2316.463576	0.386700	
2316.465129	0.388109	
2316.466672	0.386716	
2316.468217	0.385414	
2316.469790	0.386760	
2316.471310	0.384520	
2316.472907	0.383517	
2316.474404	0.383271	
2316.476005	0.384146	
2316.477504	0.382043	
2316.479109	0.380294	
2316.480607	0.379227	
2316.482186	0.376464	
2316.483699	0.374063	
2316.485214	0.371912	
2316.486791	0.371070	
2316.488312	0.368101	
2316.489884	0.363968	
2316.491376	0.362401	
2316.492961	0.361091	
2316.494496	0.354481	
2316.496108	0.353828	
2316.497598	0.350461	
2316.499181	0.346013	
2316.500710	0.340325	
2316.502284	0.336611	
2316.503834	0.333574	
2316.505352	0.327995	
2316.506934	0.323628	
2316.508460	0.321332	
2316.510049	0.316945	
2316.511539	0.310524	
2316.513108	0.307233	
2316.514632	0.303233	
2316.516236	0.298818	
2316.517741	0.291696	
2316.519314	0.288247	
2316.520847	0.283828	
2316.522420	0.278023	
2316.523953	0.274696	
2316.525507	0.272323	
2316.527079	0.267405	
2316.528577	0.262551	
2316.530359	0.259606	
2316.531883	0.255598	
2316.533592	0.249459	
2316.535140	0.245833	
2316.536835	0.242510	
2316.538399	0.238212	
2316.540095	0.233656	
2316.541664	0.232512	
2316.543340	0.230239	
2316.544914	0.225474	
2316.546595	0.223029	
2316.548192	0.221071	
2316.549820	0.215600	
2316.551443	0.211190	
2316.553090	0.210287	
2316.554712	0.206344	
2316.556344	0.204503	
2316.557981	0.202843	
2316.559595	0.201993	
2316.561288	0.198222	
2316.562873	0.197687	
2316.564551	0.195983	
2316.566138	0.193304	
2316.567803	0.190226	
2316.569382	0.189831	
2316.571077	0.187414	
2316.572637	0.184832	
2316.574338	0.184574	
2316.575885	0.184881	
2316.577601	0.182375	
2316.579122	0.182065	
2316.580872	0.181247	
2316.582357	0.178729	
2316.584128	0.176260	
2316.585623	0.175205	
2316.587422	0.174290	
2316.588902	0.172256	
2316.590670	0.171269	
2316.592146	0.171494	
2316.593834	0.169629	
2316.595339	0.167776	
2316.596985	0.167986	
2316.598526	0.166093	
2316.600148	0.162133	
2316.601723	0.160517	
2316.603318	0.159071	
2316.604931	0.156509	
2316.606508	0.155260	
2316.608112	0.154092	
2316.609659	0.153830	
2316.611315	0.149983	
2316.612803	0.149447	
2316.614527	0.146982	
2316.616002	0.144199	
2316.617724	0.139945	
