time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2673.659900	151.763290	0.686568	0.067150	129
2675.680865	151.620026	0.682970	0.068416	131
2677.702765	151.244827	0.675349	0.068980	133
2679.733493	150.652939	0.676924	0.069742	135
2681.776115	150.166168	0.693366	0.069688	137
2683.822300	149.882156	0.711713	0.068648	139
2685.868871	150.123596	0.732780	0.067055	141
2687.910886	150.605057	0.754302	0.064524	143
2689.937895	151.122406	0.776182	0.061339	145
2691.953524	151.216843	0.790760	0.058385	147
2693.968959	150.839996	0.792273	0.058773	149
2695.990209	150.638412	0.790420	0.060837	151
2698.022250	150.424377	0.796469	0.060919	153
2700.059492	150.313553	0.810384	0.061424	155
2702.096042	150.130371	0.826946	0.060738	157
2704.130439	149.989868	0.842907	0.059693	159
2706.162414	149.902588	0.857331	0.059048	161
2708.191853	149.959976	0.870042	0.058560	163
2710.220198	150.137665	0.879960	0.058279	165
2712.246296	150.596039	0.888046	0.058134	167
2714.271184	151.281998	0.894427	0.057492	169
2716.296680	152.097839	0.898490	0.055966	171
2718.326564	152.630127	0.906338	0.053774	173
2720.362516	152.322861	0.920064	0.051251	175
2722.403527	151.019928	0.937134	0.049640	177
2724.444977	149.312851	0.953692	0.051182	179
2726.480332	148.146194	0.968297	0.053765	181
2728.507691	147.993607	0.979419	0.055105	183
2730.529591	148.640945	0.988010	0.055201	185
2732.549004	149.496109	0.990931	0.054798	187
2734.570181	150.282410	0.992847	0.054611	189
2736.593717	150.819565	0.994043	0.054281	191
2738.619890	151.125961	0.995672	0.053104	193
2740.646799	151.259048	0.998329	0.052183	195
2742.675593	151.278259	1.003102	0.051195	197
2744.704817	151.186798	1.008145	0.050813	199
2746.733368	151.080002	1.012451	0.050911	201
2748.762739	150.879456	1.018106	0.050586	203
2750.792490	150.598648	1.026532	0.050613	205
2752.822500	150.302811	1.035188	0.051047	207
2754.853842	150.005341	1.044595	0.051032	209
2756.887143	149.820465	1.054141	0.050754	211
2758.922232	149.847015	1.064210	0.050290	213
2760.957619	150.004288	1.074119	0.050185	215
2762.990163	150.265030	1.082954	0.049677	217
2765.018682	150.615524	1.093435	0.048547	219
2767.040920	150.926544	1.103379	0.047191	221
2769.059907	151.021759	1.105083	0.046861	223
2771.078619	150.956207	1.099268	0.047623	225
2773.099751	150.921509	1.088583	0.049378	227
2775.124911	150.903168	1.082577	0.050008	229
2777.153171	150.872574	1.083173	0.050169	231
2779.182955	150.910339	1.087178	0.050451	233
2781.211842	151.021820	1.092212	0.050633	235
2783.239443	151.182220	1.097285	0.050447	237
2785.265814	151.435928	1.101485	0.050038	239
2787.292461	151.823334	1.103247	0.049754	241
2789.319699	152.270462	1.106500	0.049366	243
2791.348583	152.426666	1.112093	0.047939	245
2793.380233	152.166229	1.122410	0.047053	247
2795.415730	151.356552	1.133550	0.046627	249
2797.452203	150.214432	1.142952	0.047544	251
2799.485920	149.161896	1.149438	0.049106	253
2801.515674	148.625443	1.153306	0.050724	255
2803.542542	148.576141	1.158065	0.051754	1
2805.566058	148.911560	1.160101	0.051798	3
2807.589546	149.313110	1.161567	0.051753	5
2809.612889	149.735596	1.162073	0.051551	7
2811.636957	150.059143	1.162093	0.051769	9
2813.662431	150.270813	1.161862	0.052094	11
2815.689484	150.354324	1.162187	0.052124	13
2817.717672	150.374390	1.163314	0.051979	15
2819.746255	150.347137	1.165028	0.051866	17
2821.776050	150.246658	1.168669	0.051433	19
2823.805620	150.147858	1.172713	0.051203	21
2825.834729	150.122726	1.177258	0.050970	23
2827.865023	150.142548	1.180568	0.051330	25
2829.895888	150.277710	1.184222	0.051209	27
2831.925854	150.514923	1.188767	0.051153	29
