crossing time (s)	slope (V/s)	crossing number
6536.343452	3.496317	4393
6537.344245	3.492789	4394
6538.371974	3.147157	4395
6539.370678	3.424290	4396
6540.399924	3.341205	4397
6541.395781	3.506206	4398
6542.423573	3.349872	4399
6543.420058	3.114863	4400
6544.447216	3.179282	4401
6545.448983	3.243932	4402
6546.478493	3.162031	4403
6547.477009	3.659500	4404
6548.507181	3.590431	4405
6549.503095	3.497785	4406
6550.535147	4.192286	4407
6551.530059	3.526866	4408
6552.563277	4.463500	4409
6553.558114	3.361580	4410
6554.593684	4.789271	4411
6555.587453	3.519285	4412
6556.622545	5.134915	4413
6557.620985	3.823004	4414
6558.652417	5.148637	4415
6559.646802	3.572097	4416
6560.681586	5.388482	4417
6561.676726	3.576181	4418
6562.710345	5.106313	4419
6563.707187	3.629080	4420
6564.736459	4.922611	4421
6565.733429	3.349230	4422
6566.766658	5.153695	4423
6567.765880	3.322578	4424
6568.794042	4.814361	4425
6569.797054	3.376550	4426
6570.819212	4.432183	4427
6571.829758	3.427772	4428
6572.850047	4.376907	4429
6573.855119	3.630749	4430
6574.877967	4.565355	4431
6575.882577	3.769106	4432
6576.908108	4.461885	4433
6577.915611	3.840106	4434
6578.933452	4.257483	4435
6579.942990	3.833888	4436
6580.964869	4.274916	4437
6581.971922	4.219552	4438
6582.995079	4.573533	4439
6584.001903	4.255832	4440
6585.022330	4.712849	4441
6586.029208	4.347714	4442
6587.052349	4.703725	4443
6588.056841	4.501837	4444
6589.080845	4.884719	4445
6590.086757	4.716752	4446
6591.107669	5.044248	4447
6592.114619	4.743469	4448
6593.138135	5.352072	4449
6594.141706	4.867149	4450
6595.167192	5.485948	4451
6596.170691	4.878180	4452
6597.195705	5.579283	4453
6598.200650	5.042319	4454
6599.224345	5.771750	4455
6600.228743	5.118718	4456
6601.251011	5.807389	4457
6602.255032	5.132971	4458
6603.279221	5.952232	4459
6604.283522	5.368432	4460
6605.309740	5.984319	4461
6606.312544	5.487936	4462
6607.336567	6.040172	4463
6608.341021	5.434055	4464
6609.365216	6.199354	4465
6610.368062	5.518565	4466
6611.393480	6.311560	4467
6612.396030	5.662129	4468
6613.422486	6.418281	4469
6614.424073	5.684822	4470
6615.452351	6.442353	4471
6616.452287	5.907062	4472
6617.477164	6.505028	4473
6618.480912	5.909636	4474
6619.506182	6.655514	4475
6620.507941	6.073728	4476
6621.534912	6.671506	4477
6622.536717	6.128110	4478
6623.562197	6.692842	4479
6624.563673	6.301783	4480
6625.589591	6.767432	4481
6626.589931	6.407031	4482
6627.615972	6.938737	4483
6628.618328	6.516298	4484
6629.645591	6.790520	4485
6630.648791	6.531886	4486
6631.671486	7.108580	4487
6632.675739	6.666544	4488
6633.699531	7.280031	4489
6634.702785	6.784236	4490
6635.727519	7.296937	4491
6636.731219	6.830331	4492
6637.755246	7.501556	4493
6638.758937	6.939821	4494
6639.782453	7.692398	4495
6640.786065	7.099996	4496
6641.812171	7.902166	4497
6642.815232	7.301179	4498
6643.838352	8.104052	4499
6644.843976	7.456197	4500
6645.865633	8.160099	4501
6646.870361	7.544445	4502
6647.894107	8.400948	4503
6648.898545	7.919797	4504
6649.921546	8.714858	4505
6650.927840	8.010871	4506
6651.949372	8.980418	4507
6652.954788	8.092029	4508
6653.978384	9.172036	4509
6654.981870	8.348824	4510
6656.004413	9.458656	4511
6657.011276	8.739630	4512
6658.032849	9.741264	4513
6659.038515	8.916128	4514
6660.060736	9.951913	4515
6661.067313	9.281026	4516
6662.087021	9.927701	4517
6663.094282	9.422474	4518
6664.112900	10.289383	4519
6665.120449	9.766298	4520
6666.141406	10.510171	4521
6667.148911	9.929626	4522
6668.168708	10.581949	4523
6669.173648	9.891735	4524
6670.196632	10.567199	4525
6671.202377	10.273592	4526
6672.221789	10.752514	4527
6673.229623	10.347096	4528
6674.249041	10.779454	4529
6675.254948	10.450804	4530
6676.276743	10.646658	4531
6677.283472	10.387528	4532
6678.303546	10.616801	4533
6679.309406	10.499780	4534
6680.329817	10.630357	4535
6681.336370	10.417528	4536
6682.357648	10.405507	4537
6683.363502	10.240438	4538
6684.385035	10.249294	4539
6685.391314	10.369294	4540
6686.412892	10.323943	4541
6687.417011	10.236096	4542
6688.440035	10.359306	4543
6689.444294	10.108223	4544
6690.466843	10.195556	4545
6691.472823	9.968404	4546
6692.495331	10.199819	4547
6693.499874	10.179920	4548
6694.522911	10.271122	4549
6695.527568	10.148061	4550
6696.549724	10.401408	4551
6697.555663	10.152200	4552
6698.577155	10.392514	4553
6699.582219	10.293335	4554
6700.603694	10.435130	4555
6701.609985	10.443971	4556
6702.631565	10.746575	4557
6703.636520	10.502385	4558
6704.660317	10.641433	4559
6705.665085	10.399823	4560
6706.686241	10.635731	4561
6707.692448	10.611175	4562
6708.711366	10.753960	4563
6709.719160	10.685355	4564
6710.739615	10.767443	4565
6711.746883	10.545797	4566
6712.766987	10.699554	4567
6713.772983	10.521269	4568
6714.795204	10.545341	4569
6715.801604	10.693013	4570
6716.821451	10.780136	4571
6717.829426	10.647670	4572
6718.848565	10.752090	4573
6719.856352	10.528609	4574
6720.875793	10.626563	4575
6721.883126	10.514502	4576
6722.904838	10.676456	4577
6723.909825	10.713038	4578
6724.931293	10.831765	4579
6725.939061	10.757157	4580
6726.957570	10.983153	4581
6727.965898	10.575803	4582
6728.985166	10.737791	4583
6729.991543	10.866501	4584
6731.013603	10.973616	4585
6732.020270	10.889745	4586
6733.041505	11.068607	4587
6734.048147	10.914237	4588
6735.067138	10.929032	4589
6736.074724	10.966761	4590
6737.095408	11.061208	4591
6738.101572	11.084599	4592
6739.123520	11.361927	4593
6740.128832	11.243755	4594
6741.151198	11.215879	4595
6742.156758	11.033618	4596
6743.177838	11.187331	4597
6744.182896	11.109097	4598
6745.204577	11.231848	4599
6746.209956	11.239775	4600
6747.231033	11.230685	4601
6748.236723	11.137396	4602
6749.259196	10.924588	4603
6750.264108	11.055820	4604
6751.282617	10.877545	4605
6752.287914	11.027994	4606
6753.310618	10.851997	4607
6754.317255	10.897067	4608
6755.339343	10.773406	4609
6756.343384	10.650432	4610
6757.365973	10.516992	4611
6758.368438	10.633480	4612
6759.389914	10.380683	4613
6760.396501	10.726040	4614
6761.419296	10.636410	4615
6762.424825	10.500669	4616
6763.445712	10.437939	4617
6764.451339	10.433888	4618
6765.470549	10.539101	4619
6766.475242	10.690163	4620
6767.498727	10.675867	4621
6768.504447	10.757194	4622
6769.525715	10.546276	4623
6770.530181	10.622769	4624
6771.548839	10.552286	4625
6772.555545	10.645295	4626
6773.577683	10.488988	4627
6774.583453	10.631913	4628
6775.605668	10.623692	4629
6776.611002	10.577264	4630
6777.631436	10.496927	4631
6778.637633	10.424660	4632
6779.656349	10.370676	4633
6780.662418	10.374889	4634
6781.683937	10.415401	4635
6782.690961	10.446505	4636
6783.711473	10.320814	4637
6784.718415	10.184913	4638
6785.737016	10.085972	4639
6786.742905	10.228241	4640
6787.763559	10.113537	4641
6788.770263	10.404138	4642
6789.791495	10.330592	4643
6790.797199	10.251743	4644
6791.818036	10.162764	4645
6792.824961	10.272439	4646
6793.842571	10.209472	4647
6794.851930	10.235216	4648
6795.871098	10.187836	4649
6796.876794	10.259235	4650
6797.898433	10.225351	4651
6798.904517	10.164792	4652
6799.924284	10.038785	4653
6800.930000	10.072339	4654
6801.950378	9.956025	4655
6802.955941	10.199607	4656
6803.976688	10.139072	4657
6804.983443	10.042691	4658
6806.004761	9.938889	4659
6807.010370	9.948832	4660
6808.029618	9.873777	4661
6809.036167	9.966001	4662
6810.057227	9.910037	4663
6811.061417	9.980925	4664
6812.084160	9.870593	4665
6813.090595	9.852177	4666
6814.111588	9.863133	4667
6815.116547	9.821887	4668
6816.137402	9.803199	4669
6817.142666	9.944763	4670
6818.162797	9.904751	4671
6819.168305	9.916240	4672
6820.191575	9.808854	4673
6821.195457	9.882127	4674
6822.217490	9.701426	4675
6823.223369	9.886092	4676
6824.244222	9.862060	4677
6825.248093	9.963453	4678
6826.269975	9.684342	4679
6827.275342	9.685565	4680
6828.297144	9.634270	4681
6829.301754	9.696684	4682
6830.323519	9.607730	4683
