time (s)	coil I (A)	last det (V)	int current (uC)
6545.612764	1.084050	0.576388	471.561890
6545.613706	1.556345	0.576388	1937.639038
6545.614689	1.545619	0.576388	3456.982422
6545.615617	1.504534	0.576388	4853.189453
6545.616486	1.464877	0.576388	6126.166992
6545.617431	0.948929	0.576388	7022.905273
6545.618367	0.106589	0.576388	7122.672852
6545.619286	0.089872	0.576388	7205.265137
6545.620157	0.089960	0.576388	7283.620117
6545.621122	0.089971	0.576388	7370.441895
6545.622046	0.089919	0.576388	7453.527344
6545.622910	0.090026	0.576388	7531.309570
6545.623886	0.090121	0.576388	7619.267578
6545.624796	0.089908	0.576388	7701.084473
6545.625721	0.090007	0.576388	7784.341309
6545.626584	0.090073	0.576388	7862.074707
6546.649029	1.069475	0.590394	464.152161
6546.649895	1.554185	0.590394	1810.075928
6546.650880	1.548413	0.590394	3335.262695
6546.651802	1.508075	0.590394	4725.708008
6546.652682	1.468370	0.590394	6017.874023
6546.653610	1.085676	0.590394	7025.381836
6546.654575	0.124277	0.590394	7145.309570
6546.655499	0.089971	0.590394	7228.442383
6546.656374	0.090007	0.590394	7307.198730
6546.657304	0.090044	0.590394	7390.939453
6546.658247	0.090026	0.590394	7475.833496
6546.659172	0.089934	0.590394	7559.022461
6546.660035	0.089901	0.590394	7636.606934
6546.660994	0.089905	0.590394	7722.825684
6546.661935	0.090139	0.590394	7807.646484
6546.662831	0.090007	0.590394	7888.292969
6547.642299	1.046111	0.611177	440.412689
6547.643243	1.554899	0.611177	1908.237061
6547.644178	1.547260	0.611177	3354.924805
6547.645101	1.507170	0.611177	4746.042969
6547.645984	1.466755	0.611177	6041.187988
6547.646973	0.988601	0.611177	7018.914551
6547.647883	0.109969	0.611177	7118.986816
6547.648807	0.089872	0.611177	7202.028320
6547.649671	0.089949	0.611177	7279.744141
6547.650642	0.089993	0.611177	7367.126953
6547.651587	0.089945	0.611177	7452.125000
6547.652472	0.089934	0.611177	7531.716797
6547.653370	0.089857	0.611177	7612.408691
6547.654288	0.090143	0.611177	7695.159668
6547.655212	0.089978	0.611177	7778.299316
6547.656078	0.090139	0.611177	7856.359863
6548.679095	1.046323	0.613549	440.502045
6548.680041	1.558733	0.613549	1915.063354
6548.680974	1.547205	0.613549	3358.605225
6548.681897	1.507130	0.613549	4749.686523
6548.682765	1.466876	0.613549	6022.935059
6548.683758	0.999108	0.613549	7015.048828
6548.684677	0.114587	0.613549	7120.354492
6548.685556	0.089916	0.613549	7199.390625
6548.686472	0.089890	0.613549	7281.729980
6548.687409	0.089894	0.613549	7365.960449
6548.688344	0.089919	0.613549	7450.035156
6548.689217	0.090059	0.613549	7528.656250
6548.690158	0.089810	0.613549	7613.166992
6548.691118	0.089949	0.613549	7699.517578
6548.692048	0.089930	0.613549	7783.152832
6548.692916	0.089711	0.613549	7861.021484
6549.672481	1.105093	0.646207	580.173706
6549.673446	1.562102	0.646207	2087.602051
6549.674379	1.542956	0.646207	3527.180420
6549.675242	1.503926	0.646207	4825.068359
6549.676265	1.458574	0.646207	6317.189453
6549.677166	0.820800	0.646207	7056.729980
6549.678039	0.101049	0.646207	7144.945312
6549.678969	0.089967	0.646207	7228.614746
6549.679952	0.089960	0.646207	7317.044922
6549.680862	0.089824	0.646207	7398.785156
6549.681755	0.089883	0.646207	7479.050293
6549.682746	0.089938	0.646207	7568.178711
6549.683650	0.090070	0.646207	7649.601562
6549.684568	0.089971	0.646207	7732.194824
6549.685430	0.090026	0.646207	7809.796875
6549.686480	0.089919	0.646207	7904.212402
6550.708170	1.072214	0.645135	466.413208
6550.709044	1.554880	0.645135	1825.378662
6550.710024	1.547805	0.645135	3342.227783
6550.710953	1.507251	0.645135	4742.463867
6550.711822	1.467543	0.645135	6017.758789
6550.712859	0.941708	0.645135	6994.309570
6550.713742	0.110995	0.645135	7092.317871
6550.714665	0.089883	0.645135	7175.279785
6550.715535	0.089839	0.645135	7253.439453
6550.716515	0.089839	0.645135	7341.481445
6550.717414	0.089996	0.645135	7422.388184
6550.718332	0.090114	0.645135	7505.112305
6550.719210	0.089872	0.645135	7584.019531
6550.720190	0.089875	0.645135	7672.097656
6550.721107	0.089890	0.645135	7754.526855
6550.721988	0.089978	0.645135	7833.797363
6551.702082	1.182352	0.690333	663.299622
6551.703059	1.563900	0.690333	2191.229980
6551.703985	1.540701	0.690333	3617.918945
6551.704854	1.499744	0.690333	4921.196289
6551.705968	1.453077	0.690333	6539.924316
6551.706880	0.608137	0.690333	7094.545410
6551.707744	0.093746	0.690333	7175.542480
6551.708809	0.090040	0.690333	7271.435547
6551.709778	0.089974	0.690333	7358.620605
6551.710652	0.089875	0.690333	7437.171875
6551.711521	0.090018	0.690333	7515.397949
6551.712610	0.089993	0.690333	7613.399902
