time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1447.698687	152.712479	0.786471	0.042366	103
1449.713003	154.302505	0.770433	0.038066	105
1451.747889	153.894226	0.765679	0.032763	107
1453.798462	151.925568	0.788697	0.033854	109
1455.839493	150.712677	0.810613	0.036185	111
1457.873328	150.520401	0.829991	0.037007	113
1459.904580	150.735779	0.846653	0.036506	115
1461.935960	151.159958	0.862002	0.035782	117
1463.964801	151.676437	0.878807	0.034287	119
1465.992348	152.187225	0.895413	0.032862	121
1468.011901	152.342514	0.910928	0.030574	123
1470.027502	151.806259	0.917821	0.029406	125
1472.045825	150.771347	0.911018	0.031925	127
1474.077855	150.172806	0.913267	0.034168	129
1476.124673	150.665695	0.930752	0.035526	131
1478.167996	151.994797	0.956289	0.033374	133
1480.202807	152.699936	0.985632	0.029870	135
1482.218588	152.221542	1.003895	0.027055	137
1484.230645	150.996643	0.994891	0.028155	139
1486.253229	150.265167	0.984165	0.031916	141
1488.288828	150.212372	0.994007	0.032778	143
1490.328566	150.575058	1.014228	0.032057	145
1492.365677	150.919083	1.033359	0.030462	147
1494.401307	150.977432	1.049999	0.030096	149
1496.433676	150.898376	1.062155	0.029942	151
1498.462898	150.761261	1.071842	0.030058	153
1500.492419	150.540512	1.081539	0.030136	155
1502.520828	150.304382	1.089664	0.030088	157
1504.548772	150.012375	1.097911	0.030471	159
1506.575388	149.829773	1.106453	0.030691	161
1508.599060	149.819839	1.113808	0.031153	163
1510.618982	150.206757	1.119306	0.031672	165
1512.637921	151.103745	1.118418	0.032557	167
1514.657659	152.380112	1.111304	0.031687	169
1516.682704	153.277695	1.110369	0.028954	171
1518.718437	152.906494	1.123645	0.026233	173
1520.760204	151.272064	1.143244	0.026135	175
1522.796636	149.542557	1.158833	0.029315	177
1524.826215	149.002075	1.171886	0.031621	179
1526.848175	149.541962	1.180401	0.032468	181
1528.866652	150.557266	1.178979	0.031869	183
1530.886962	151.479034	1.172744	0.031355	185
1532.909273	152.036835	1.167294	0.030475	187
1534.935224	152.319443	1.166543	0.029377	189
1536.963114	152.435364	1.170219	0.028634	191
1538.991917	152.369095	1.176807	0.028447	193
1541.020628	152.252823	1.183831	0.028298	195
1543.049281	152.094879	1.189497	0.028553	197
1545.076403	151.881760	1.193455	0.028671	199
1547.102985	151.576965	1.196378	0.028538	201
1549.130286	151.214249	1.199132	0.028810	203
1551.158464	150.832336	1.203107	0.029183	205
1553.188325	150.581070	1.209422	0.029712	207
1555.220826	150.521973	1.221724	0.030199	209
1557.256146	150.721878	1.235275	0.029735	211
1559.292285	151.178879	1.245743	0.029640	213
1561.324773	151.723038	1.256271	0.028859	215
1563.350512	152.009216	1.266779	0.027873	217
1565.370556	151.905884	1.275138	0.026758	219
1567.388020	151.528809	1.269273	0.027208	221
1569.408440	151.176788	1.253666	0.029085	223
1571.432148	150.974411	1.241499	0.030263	225
1573.460816	150.803970	1.248395	0.029874	227
1575.490227	150.904190	1.256877	0.031448	229
1577.518475	150.953217	1.256913	0.031420	231
1579.545413	150.951889	1.257505	0.031167	233
1581.572158	151.106186	1.257066	0.031192	235
1583.596909	151.306503	1.255574	0.031829	237
1585.621263	151.665924	1.252995	0.032197	239
1587.645261	152.165009	1.250353	0.032033	241
1589.670743	152.685852	1.246594	0.031631	243
1591.698406	152.934662	1.246076	0.030604	245
1593.730633	152.636444	1.247491	0.029430	247
1595.765864	151.672821	1.247667	0.029229	249
1597.800060	150.632782	1.245619	0.031093	251
1599.830394	149.922699	1.243419	0.032294	253
1601.857166	149.725998	1.243298	0.033718	255
1603.880566	149.926102	1.244825	0.033963	1
1605.902627	150.304153	1.244139	0.034101	3
1607.924496	150.702988	1.241881	0.034056	5
1609.946579	151.004272	1.237380	0.034294	7
1611.970472	151.235245	1.232698	0.034323	9
1613.994698	151.312134	1.228705	0.034554	11
1616.020314	151.354507	1.225708	0.034642	13
1618.046945	151.309647	1.223275	0.034970	15
1620.074803	151.194611	1.220710	0.035257	17
1622.102631	151.078094	1.219355	0.035059	19
1624.131770	150.993698	1.218687	0.035044	21
1626.161630	150.958435	1.216801	0.034886	23
1628.191773	151.009689	1.216106	0.034769	25
1630.222263	151.173782	1.213949	0.035078	27
1632.252888	151.447357	1.212987	0.034923	29
1634.281393	151.782272	1.214768	0.034515	31
1636.305887	152.014603	1.218618	0.034353	33
1638.326935	152.155914	1.223417	0.033742	35
1640.345922	152.167450	1.221743	0.033957	37
1642.365230	152.052658	1.213921	0.034769	39
1644.386416	151.982178	1.203291	0.035973	41
1646.409832	151.906143	1.195242	0.036690	43
1648.435844	151.897766	1.190088	0.037365	45
1650.462434	151.925705	1.187694	0.037177	47
1652.489639	152.029785	1.186690	0.037755	49
1654.515504	152.208313	1.186580	0.037586	51
1656.541700	152.464218	1.185700	0.037775	53
1658.567376	152.799683	1.184093	0.037187	55
1660.594706	153.146988	1.182330	0.037135	57
1662.623316	153.253555	1.181926	0.036692	59
1664.654286	153.009903	1.183251	0.035901	61
1666.687575	152.343475	1.183673	0.035613	63
1668.721003	151.517319	1.182616	0.036109	65
1670.752808	150.790359	1.181167	0.037797	67
1672.781869	150.369888	1.179571	0.039248	69
1674.808031	150.277054	1.178204	0.040018	71
1676.832500	150.423019	1.178360	0.040084	73
1678.856056	150.672668	1.177164	0.040151	75
1680.880058	150.870819	1.175855	0.039948	77
1682.904256	151.052551	1.173721	0.039880	79
1684.929496	151.147522	1.171115	0.039735	81
1686.955457	151.196213	1.167776	0.039645	83
1688.982915	151.255478	1.165373	0.039575	85
1691.010628	151.301193	1.163021	0.039727	87
1693.039419	151.364288	1.160001	0.039740	89
1695.068355	151.483047	1.156917	0.039836	91
1697.097030	151.673019	1.155169	0.040103	93
1699.125127	151.924438	1.156147	0.039716	95
1701.150837	152.148956	1.157861	0.039481	97
1703.174208	152.420029	1.160597	0.039063	99
1705.194898	152.596771	1.162535	0.038846	101
1707.214385	152.697891	1.160018	0.039201	103
1709.234305	152.743683	1.153624	0.039985	105
1711.256159	152.737595	1.146128	0.041106	107
1713.279888	152.759766	1.138613	0.042118	109
1715.304333	152.804932	1.134015	0.042763	111
1717.330710	152.902374	1.131420	0.043132	113
1719.356948	153.040955	1.129993	0.043218	115
1721.382905	153.295303	1.127644	0.043442	117
1723.409915	153.513199	1.126318	0.042950	119
1725.436878	153.717361	1.125216	0.042402	121
1727.465901	153.782242	1.125318	0.041599	123
1729.496222	153.594894	1.126780	0.041028	125
1731.528627	153.084427	1.127338	0.040230	127
1733.561103	152.403931	1.127943	0.040668	129
1735.592838	151.673004	1.126715	0.041790	131
1737.623290	151.171387	1.124237	0.043021	133
1739.651251	150.976791	1.122602	0.043873	135
1741.676807	150.977890	1.120344	0.044529	137
1743.702462	151.100266	1.119331	0.045005	139
1745.726792	151.234116	1.117891	0.045424	141
1747.752063	151.381393	1.115083	0.045649	143
1749.777424	151.501755	1.112099	0.045478	145
1751.804193	151.604446	1.109053	0.045501	147
1753.830469	151.707077	1.107212	0.045263	149
1755.858305	151.811386	1.105889	0.045250	151
1757.886702	151.946854	1.105384	0.045082	153
1759.913733	152.111526	1.103329	0.044947	155
1761.941014	152.312286	1.103502	0.044611	157
1763.965716	152.539856	1.106080	0.044475	159
1765.988953	152.785873	1.108781	0.044298	161
1768.010215	152.998322	1.110105	0.044030	163
1770.030471	153.181656	1.108744	0.044163	165
1772.050862	153.293228	1.104289	0.044819	167
1774.072900	153.379822	1.096441	0.045863	169
1776.095679	153.482162	1.090691	0.046880	171
1778.120294	153.560211	1.086295	0.047692	173
1780.145587	153.687256	1.082933	0.048168	175
1782.171754	153.840408	1.080826	0.048228	177
1784.197966	153.980042	1.079534	0.048235	179
1786.225244	154.178085	1.077359	0.048193	181
1788.252679	154.278000	1.076908	0.047680	183
1790.282094	154.221741	1.076157	0.047194	185
1792.313070	153.952103	1.075959	0.047012	187
1794.344674	153.439789	1.076595	0.046753	189
1796.376988	152.800797	1.075867	0.047231	191
1798.408350	152.177582	1.074808	0.048005	193
