time (s)	coil I (A)	last det (V)	int current (uC)
1451.932632	1.105503	0.499637	484.210297
1451.933762	1.567002	0.499637	2254.922363
1451.934649	1.545282	0.499637	3625.587402
1451.935514	1.506240	0.499637	4928.485352
1451.936586	1.458735	0.499637	6492.249512
1451.937549	1.418375	0.499637	7858.145020
1451.938470	1.381465	0.499637	9130.474609
1451.939338	0.865605	0.499637	9881.820312
1451.940399	0.096552	0.499637	9984.261719
1451.941305	0.089872	0.499637	10065.685547
1451.942185	0.089967	0.499637	10144.856445
1451.943185	0.089919	0.499637	10234.775391
1451.944161	0.089890	0.499637	10322.507812
1451.945088	0.089974	0.499637	10405.914062
1451.945970	0.089938	0.499637	10485.239258
1451.946968	0.089967	0.499637	10575.026367
1451.947886	0.089956	0.499637	10657.606445
1451.948811	0.089993	0.499637	10740.849609
1452.990815	1.080513	0.502453	481.908630
1452.991689	1.559509	0.502453	1844.919678
1452.992561	1.555378	0.502453	3201.209717
1452.993585	1.511276	0.502453	4748.755859
1452.994500	1.468546	0.502453	6092.475586
1452.995431	1.429761	0.502453	7423.583008
1452.996298	1.392839	0.502453	8631.174805
1452.997343	1.059412	0.502453	9738.259766
1452.998240	0.131378	0.502453	9856.106445
1452.999119	0.089810	0.502453	9935.048828
1453.000124	0.089886	0.502453	10025.384766
1453.001046	0.089861	0.502453	10108.236328
1453.001967	0.089886	0.502453	10191.021484
1453.002830	0.089886	0.502453	10268.593750
1453.003871	0.089744	0.502453	10362.016602
1453.004749	0.089941	0.502453	10440.985352
1453.005621	0.089846	0.502453	10519.331055
1453.006581	0.089945	0.502453	10605.678711
1453.991104	1.049656	0.545774	449.252686
1453.991971	1.557521	0.545774	1799.623169
1453.992997	1.550830	0.545774	3390.774902
1453.993984	1.507031	0.545774	4878.214844
1453.994902	1.465788	0.545774	6223.808594
1453.995770	1.427256	0.545774	7462.666992
1453.996888	1.384761	0.545774	9010.829102
1453.997780	0.930168	0.545774	9840.539062
1453.998637	0.114478	0.545774	9938.646484
1453.999699	0.089949	0.545774	10034.171875
1454.000653	0.089832	0.545774	10119.871094
1454.001528	0.089941	0.545774	10198.570312
1454.002391	0.089960	0.545774	10276.205078
1454.003493	0.089941	0.545774	10375.320312
1454.004408	0.089960	0.545774	10457.633789
1454.005275	0.089886	0.545774	10535.565430
1454.006334	0.090062	0.545774	10630.941406
1454.007305	0.089960	0.545774	10718.291992
1454.998198	1.048337	0.546197	440.301727
1454.999229	1.563190	0.546197	2051.950195
1455.000258	1.544158	0.546197	3640.888672
1455.001157	1.503615	0.546197	4992.638184
1455.002103	1.461493	0.546197	6375.210449
1455.003171	1.416592	0.546197	7888.130859
1455.004122	1.378616	0.546197	9199.194336
1455.004992	0.761268	0.546197	9861.498047
1455.006052	0.093658	0.546197	9960.776367
1455.007049	0.089967	0.546197	10050.473633
1455.007933	0.090026	0.546197	10130.056641
1455.008798	0.089982	0.546197	10207.890625
1455.009870	0.089967	0.546197	10304.334961
1455.010793	0.089952	0.546197	10387.361328
1455.011663	0.089912	0.546197	10465.584961
1455.012623	0.089930	0.546197	10551.917969
1455.013633	0.089971	0.546197	10642.788086
1455.014532	0.089971	0.546197	10723.671875
1456.037320	1.066179	0.437561	465.920288
1456.038189	1.558824	0.437561	1820.538696
1456.039259	1.548739	0.437561	3477.689453
1456.040252	1.504391	0.437561	4971.549805
1456.041141	1.464324	0.437561	6273.333496
1456.042006	1.427032	0.437561	7507.716797
1456.043087	1.384523	0.437561	9004.385742
1456.044020	0.876511	0.437561	9822.170898
1456.044888	0.107607	0.437561	9915.574219
1456.045864	0.089978	0.437561	10003.392578
1456.046902	0.089949	0.437561	10096.759766
1456.047783	0.089952	0.437561	10176.007812
1456.048650	0.089996	0.437561	10254.034180
1456.049693	0.089934	0.437561	10347.834961
1456.050627	0.089949	0.437561	10431.846680
1456.051509	0.089989	0.437561	10511.216797
1456.052451	0.090029	0.437561	10596.024414
1456.053478	0.090022	0.437561	10688.476562
1457.020514	1.080655	0.508186	487.375610
1457.021376	1.559000	0.508186	1831.233887
1457.022420	1.548501	0.508186	3447.868652
1457.023447	1.503025	0.508186	4991.475098
1457.024342	1.462925	0.508186	6300.792969
1457.025310	1.422784	0.508186	7678.048340
1457.026374	1.379722	0.508186	9146.072266
1457.027296	0.736036	0.508186	9824.698242
1457.028167	0.097961	0.508186	9910.022461
1457.029238	0.090066	0.508186	10006.483398
1457.030233	0.089996	0.508186	10096.029297
1457.031130	0.089971	0.508186	10176.733398
1457.032104	0.090092	0.508186	10264.482422
1457.033150	0.090033	0.508186	10358.657227
1457.034062	0.090000	0.508186	10440.737305
1457.034926	0.089941	0.508186	10518.446289
1457.036018	0.089971	0.508186	10616.694336
1457.036992	0.089960	0.508186	10704.315430
1458.072717	1.131277	0.503170	571.294800
1458.073672	1.566317	0.503170	2067.127441
1458.074541	1.549995	0.503170	3414.073242
1458.075572	1.503937	0.503170	4964.631836
1458.076619	1.457490	0.503170	6490.624023
1458.077517	1.420016	0.503170	7765.798340
1458.078476	1.381729	0.503170	9090.875977
1458.079536	0.631388	0.503170	9760.147461
1458.080470	0.092644	0.503170	9846.676758
1458.081333	0.089952	0.503170	9924.305664
1458.082403	0.089989	0.503170	10020.593750
1458.083403	0.089905	0.503170	10110.498047
1458.084301	0.089919	0.503170	10191.246094
1458.085261	0.089985	0.503170	10277.631836
1458.086298	0.090040	0.503170	10371.003906
1458.087214	0.089996	0.503170	10453.440430
1458.088077	0.090037	0.503170	10531.141602
1458.089152	0.090051	0.503170	10627.946289
1459.048042	1.087097	0.532887	478.322754
1459.048996	1.563439	0.532887	1969.843384
1459.049924	1.550167	0.532887	3408.398437
1459.050790	1.511144	0.532887	4717.048828
1459.051763	1.468041	0.532887	6145.452148
1459.052726	1.427853	0.532887	7520.474609
1459.053624	1.390935	0.532887	8769.534180
1459.054572	1.015199	0.532887	9731.942383
1459.055650	0.110431	0.532887	9850.987305
1459.056647	0.089967	0.532887	9940.684570
1459.057526	0.089919	0.532887	10019.723633
1459.058490	0.090026	0.532887	10106.508789
1459.059549	0.089952	0.532887	10201.768555
1459.060459	0.090011	0.532887	10283.678711
