crossing time (s)	slope (V/s)	crossing number
1447.683649	2.358344	615
1448.752287	2.136666	616
1449.718484	2.705472	617
1450.777336	2.335972	618
1451.744933	2.199888	619
1452.797356	2.399491	620
1453.800029	2.933307	621
1454.803805	2.875848	622
1455.835907	4.364589	623
1456.829755	3.848224	624
1457.874541	3.610310	625
1458.862022	3.476054	626
1459.901353	2.996028	627
1460.890004	3.241678	628
1461.930593	3.277488	629
1462.918763	3.667408	630
1463.957629	3.011459	631
1464.952155	3.727984	632
1465.986224	3.525335	633
1466.990794	4.552477	634
1468.010539	3.860060	635
1469.031595	5.023699	636
1470.029618	4.026158	637
1471.072976	4.178455	638
1472.045755	4.573516	639
1473.108292	4.174838	640
1474.079398	3.836162	641
1475.130812	4.469567	642
1476.122931	4.612082	643
1477.142264	4.590151	644
1478.165982	5.359524	645
1479.162349	4.993852	646
1480.199592	5.058056	647
1481.194200	4.980220	648
1482.217549	5.581392	649
1483.243796	5.302993	650
1484.228616	5.168198	651
1485.281196	5.352951	652
1486.251439	5.094012	653
1487.311891	5.870263	654
1488.287426	5.435247	655
1489.329286	5.612364	656
1490.327800	5.526494	657
1491.349157	5.300252	658
1492.364098	5.857185	659
1493.371943	5.678921	660
1494.399596	4.906006	661
1495.394689	5.341630	662
1496.431730	5.309269	663
1497.421885	5.201892	664
1498.459199	5.485425	665
1499.452806	5.239252	666
1500.490534	6.228995	667
1501.480077	5.493309	668
1502.521503	6.227506	669
1503.508111	5.611721	670
1504.549199	6.156591	671
1505.539206	5.737230	672
1506.572711	6.403559	673
1507.569548	5.844327	674
1508.597473	6.181766	675
1509.601745	6.641940	676
1510.617000	5.821951	677
1511.637080	6.958152	678
1512.635890	5.926968	679
1513.673993	7.107923	680
1514.655034	6.474270	681
1515.709688	6.210464	682
1516.681525	6.552604	683
1517.734208	6.177717	684
1518.717126	5.976423	685
1519.750597	6.354822	686
1520.760550	6.881152	687
1521.767237	7.106103	688
1522.795333	7.540566	689
1523.790485	7.658995	690
1524.826733	7.177600	691
1525.821705	6.889524	692
1526.846502	7.075846	693
1527.859205	6.751980	694
1528.864561	7.267882	695
1529.894088	7.537086	696
1530.887309	7.910345	697
1531.925780	7.629257	698
1532.907638	7.732481	699
1533.956821	7.521922	700
1534.935005	7.643605	701
1535.988578	7.377563	702
1536.961629	7.453555	703
1538.015780	7.215422	704
1538.990499	7.092825	705
1540.040591	7.594916	706
1541.018557	6.983410	707
1542.070727	7.926251	708
1543.049103	7.251788	709
1544.099839	8.079230	710
1545.075181	7.134034	711
1546.125612	8.514366	712
1547.101585	7.272138	713
1548.152091	8.846704	714
1549.131213	7.827078	715
1550.181093	8.770951	716
1551.157305	8.054088	717
1552.204841	8.625637	718
1553.186879	8.186542	719
1554.230661	8.368600	720
1555.218317	8.128645	721
1556.249850	8.236378	722
1557.254796	8.062375	723
1558.268761	8.113812	724
1559.292874	7.634202	725
1560.292373	7.736146	726
1561.326499	7.954903	727
1562.316870	7.832346	728
1563.350183	8.290951	729
1564.348520	8.661846	730
1565.369790	8.147104	731
1566.382376	8.742724	732
1567.385485	8.285991	733
1568.417880	7.799258	734
1569.408874	8.141288	735
1570.453796	7.677567	736
1571.430485	7.504628	737
1572.482537	8.227522	738
1573.459323	7.733124	739
1574.509370	8.022280	740
1575.490718	8.386211	741
1576.532234	8.242326	742
1577.518121	8.645288	743
1578.557755	8.421433	744
1579.543484	8.712129	745
1580.581948	8.288389	746
1581.572386	8.948185	747
1582.609785	8.656943	748
1583.595809	8.755487	749
1584.638663	8.619736	750
1585.621819	8.755479	751
1586.664772	8.302984	752
1587.642952	8.877675	753
1588.691755	8.216967	754
1589.670645	8.625448	755
1590.720650	8.064572	756
1591.696701	8.379148	757
1592.741229	8.083856	758
1593.729428	7.944801	759
1594.759257	8.287094	760
1595.764853	7.771482	761
1596.777054	8.145667	762
1597.799629	8.007329	763
1598.798879	8.339770	764
1599.829430	8.278924	765
1600.823301	8.543016	766
1601.856606	8.344120	767
1602.851610	8.242988	768
1603.879440	8.074250	769
1604.879860	8.008646	770
1605.902745	8.293171	771
1606.912879	7.836232	772
1607.923682	8.317015	773
1608.942922	7.800760	774
1609.944072	8.174955	775
1610.974479	7.797650	776
1611.970827	8.224204	777
1613.002833	7.934430	778
1613.992854	8.086114	779
1615.029555	7.979697	780
1616.019865	7.907362	781
1617.058039	7.799523	782
1618.044675	7.810645	783
1619.082944	7.944205	784
1620.075556	7.666165	785
1621.110384	7.770449	786
1622.101607	7.686879	787
1623.132139	7.614658	788
1624.130918	8.001661	789
1625.158389	7.848366	790
1626.161944	8.039548	791
1627.179937	7.757471	792
1628.190878	7.966170	793
1629.199220	7.792460	794
1630.220490	7.734758	795
1631.222800	7.670128	796
1632.251512	7.588310	797
1633.247098	7.431276	798
1634.282019	7.550745	799
1635.271726	7.569400	800
1636.305161	7.599314	801
1637.303435	7.606097	802
1638.325542	7.666077	803
1639.336706	7.750107	804
1640.345179	7.635415	805
1641.370499	7.623803	806
1642.364636	7.631103	807
1643.402889	7.365212	808
1644.386414	7.441508	809
1645.433972	7.303788	810
1646.407821	7.605053	811
1647.460459	7.360149	812
1648.434565	7.390482	813
1649.487719	7.418106	814
1650.460588	7.475447	815
1651.512462	7.507576	816
1652.489910	7.494523	817
1653.540202	7.496460	818
1654.513273	7.415534	819
1655.563895	7.453837	820
1656.541476	7.485810	821
1657.593209	7.585985	822
1658.565572	7.537508	823
1659.617181	7.334685	824
1660.595005	7.492526	825
1661.643479	7.438341	826
1662.623052	7.374510	827
1663.665027	7.448028	828
1664.652776	7.198438	829
1665.685877	7.398437	830
1666.686255	7.063453	831
1667.705963	7.407230	832
1668.719331	7.206683	833
1669.725376	7.388674	834
1670.751547	7.341886	835
1671.748042	7.405268	836
1672.781743	7.305574	837
1673.771939	7.326664	838
1674.807251	7.243521	839
1675.799405	7.234551	840
1676.832116	7.303000	841
1677.829071	7.060035	842
1678.854622	7.258817	843
1679.856423	6.977554	844
1680.879860	7.304105	845
1681.885148	7.055841	846
1682.902530	7.108368	847
1683.914483	6.951637	848
1684.928764	7.007522	849
1685.940508	6.908103	850
1686.953684	7.240648	851
1687.969241	7.127548	852
1688.983059	7.257475	853
1689.993039	7.028643	854
1691.009033	7.214834	855
1692.018763	7.173873	856
1693.039497	7.110786	857
1694.040699	7.139450	858
1695.067924	7.079950	859
1696.064106	6.915946	860
1697.095276	7.057700	861
1698.091140	7.077178	862
1699.125455	6.873624	863
1700.114680	6.977515	864
1701.150257	6.866234	865
1702.142007	6.923185	866
1703.174858	6.779239	867
1704.176213	6.734373	868
1705.194827	6.838814	869
1706.208544	6.889713	870
1707.212262	6.899978	871
1708.241049	6.920067	872
1709.232178	6.739259	873
1710.273155	6.804304	874
1711.255836	6.886297	875
1712.299664	6.745464	876
1713.280015	6.771705	877
1714.329591	6.848635	878
1715.302198	6.763835	879
1716.357454	6.580932	880
1717.330645	6.887452	881
1718.382540	6.607684	882
1719.357149	6.730283	883
1720.409387	6.757082	884
1721.381055	6.817348	885
1722.435657	6.807085	886
1723.410352	6.718283	887
1724.461849	6.692472	888
1725.435721	6.581249	889
1726.484453	6.762521	890
1727.466561	6.662926	891
1728.510050	6.574529	892
1729.495316	6.692767	893
1730.530773	6.662083	894
1731.529448	6.549933	895
1732.551867	6.674451	896
1733.559821	6.326228	897
1734.568215	6.608899	898
1735.590344	6.506301	899
1736.589803	6.589427	900
1737.622808	6.749579	901
1738.616183	6.504914	902
1739.651464	6.554127	903
1740.640495	6.688592	904
1741.674586	6.437493	905
1742.667738	6.569529	906
1743.703439	6.658704	907
1744.694765	6.352130	908
1745.724383	6.496296	909
1746.722979	6.465762	910
1747.752369	6.563375	911
1748.750833	6.485853	912
1749.775552	6.585073	913
1750.775717	6.338852	914
1751.804715	6.523030	915
1752.805369	6.446976	916
1753.827764	6.424473	917
1754.827315	6.420280	918
1755.856037	6.538194	919
1756.855251	6.235056	920
1757.887014	6.342496	921
1758.877596	6.427843	922
1759.911489	6.400893	923
1760.905780	6.368401	924
1761.942181	6.631242	925
1762.928818	6.256944	926
1763.964115	6.290518	927
1764.958424	6.441443	928
1765.988793	6.327361	929
1766.991472	6.332495	930
1768.008292	6.337525	931
1769.020733	6.131142	932
1770.028954	6.185994	933
1771.054611	6.102009	934
1772.048090	6.259123	935
1773.083607	6.271793	936
1774.072819	6.052344	937
1775.114264	6.339325	938
1776.094264	6.312016	939
1777.144726	6.109355	940
1778.119620	6.140504	941
1779.173390	6.066260	942
1780.144816	6.182084	943
1781.198285	6.245154	944
1782.172022	6.265397	945
1783.225044	6.033618	946
1784.195463	6.186191	947
1785.250677	6.123634	948
1786.225091	6.072801	949
1787.276104	6.214986	950
1788.250579	6.110289	951
1789.298372	6.008837	952
1790.279655	6.100158	953
1791.321679	6.115964	954
1792.313139	5.913926	955
1793.343488	6.095820	956
1794.344495	6.048614	957
1795.364812	6.228946	958
1796.377166	6.063048	959
1797.384164	6.169061	960
1798.407940	5.913648	961
