time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
994.528867	149.986649	0.821492	0.060267	25
996.562254	150.235168	0.821735	0.059996	27
998.588809	150.573822	0.824888	0.058764	29
1000.609616	150.827423	0.830205	0.057198	31
1002.628688	150.927994	0.846141	0.056493	33
1004.650195	151.139816	0.854827	0.055442	35
1006.674207	151.074677	0.860848	0.055292	37
1008.702477	150.961761	0.866803	0.056193	39
1010.735727	150.862930	0.878699	0.055573	41
1012.769628	150.847839	0.892983	0.055404	43
1014.803923	150.832932	0.908784	0.054549	45
1016.834927	150.893814	0.921615	0.054071	47
1018.864884	151.062897	0.935126	0.053285	49
1020.894917	151.324631	0.944930	0.052739	51
1022.922554	151.764420	0.953580	0.051732	53
1024.952798	152.199326	0.961573	0.050323	55
1026.984120	152.505295	0.971760	0.048647	57
1029.019052	152.383255	0.984581	0.047518	59
1031.057264	151.628326	0.999303	0.045820	61
1033.095715	150.423065	1.014476	0.046057	63
1035.132141	149.329636	1.026209	0.047325	65
1037.164960	148.765030	1.036249	0.049088	67
1039.192901	148.669708	1.045264	0.049828	69
1041.218175	148.922180	1.052351	0.049983	71
1043.243194	149.313339	1.058406	0.049452	73
1045.266846	149.690308	1.061535	0.048937	75
1047.292615	149.976837	1.063510	0.048799	77
1049.319172	150.180695	1.065682	0.048507	79
1051.346924	150.270111	1.069188	0.048321	81
1053.375457	150.244766	1.072993	0.048162	83
1055.405572	150.200989	1.077679	0.047970	85
1057.436797	150.129929	1.084227	0.047389	87
1059.468880	150.093903	1.089891	0.047145	89
1061.499648	150.195190	1.097144	0.046776	91
1063.531071	150.296844	1.102103	0.046465	93
1065.561207	150.489563	1.108162	0.046020	95
1067.589642	150.748093	1.116076	0.045276	97
1069.614744	151.096558	1.124828	0.044452	99
1071.636649	151.442032	1.128618	0.043551	101
1073.658457	151.607040	1.129166	0.043274	103
1075.680016	151.583618	1.125206	0.043458	105
1077.702344	151.533600	1.120158	0.044613	107
1079.727065	151.521194	1.116550	0.045370	109
1081.752561	151.594543	1.116189	0.045797	111
1083.780031	151.685120	1.118397	0.045800	113
1085.808748	151.807968	1.121549	0.045725	115
1087.837177	152.027771	1.124871	0.045486	117
1089.865265	152.304321	1.127287	0.045312	119
1091.893865	152.600784	1.131085	0.044585	121
1093.923651	152.746704	1.137001	0.043889	123
1095.954575	152.654099	1.144944	0.043001	125
1097.987288	152.234924	1.153814	0.042106	127
1100.020640	151.505585	1.161633	0.042169	129
1102.054446	150.661926	1.168264	0.042876	131
1104.086858	149.973892	1.172774	0.044076	133
1106.116351	149.612076	1.175874	0.045085	135
1108.143804	149.524658	1.178661	0.045650	137
1110.170333	149.610703	1.180719	0.046132	139
1112.195148	149.733871	1.182395	0.046401	141
1114.221081	149.912827	1.182692	0.046222	143
1116.247085	150.072769	1.184151	0.045895	145
1118.273646	150.200592	1.185825	0.045581	147
1120.301905	150.314331	1.187685	0.045455	149
1122.330509	150.403625	1.189658	0.045578	151
1124.359485	150.534042	1.191472	0.045373	153
1126.389057	150.688202	1.194026	0.045551	155
1128.418224	150.881348	1.197011	0.045335	157
1130.445026	151.137482	1.199934	0.044779	159
1132.470570	151.405609	1.204703	0.044255	161
1134.493626	151.650146	1.209498	0.043976	163
1136.515726	151.855225	1.210133	0.043797	165
1138.537438	152.002090	1.206311	0.044097	167
1140.559377	152.090103	1.200198	0.044742	169
1142.582933	152.160782	1.194635	0.045160	171
1144.607998	152.195908	1.189489	0.045783	173
1146.634229	152.323608	1.188133	0.046074	175
1148.660902	152.490311	1.188279	0.046064	177
1150.688641	152.642746	1.188811	0.045986	179
1152.716431	152.879395	1.190212	0.045904	181
1154.744248	153.062790	1.192327	0.045493	183
1156.773530	153.147842	1.195995	0.044870	185
1158.803714	153.039551	1.201141	0.043859	187
1160.834911	152.678436	1.207024	0.043291	189
1162.867048	152.118912	1.212063	0.043373	191
1164.899701	151.457565	1.216462	0.043917	193
1166.930932	150.830017	1.219376	0.044808	195
1168.960542	150.467255	1.220011	0.045694	197
1170.988966	150.271210	1.222122	0.046324	199
1173.016102	150.238190	1.222239	0.046859	201
1175.042602	150.307434	1.223116	0.047105	203
1177.069084	150.416473	1.224371	0.047347	205
1179.095705	150.540588	1.224797	0.047086	207
1181.122903	150.692520	1.225902	0.046785	209
1183.150367	150.833817	1.226073	0.046354	211
1185.178698	150.929199	1.222200	0.046130	213
1187.206205	151.276550	1.219559	0.045632	215
1189.232784	151.499893	1.219334	0.045689	217
1191.258670	151.724854	1.220310	0.045303	219
1193.283152	151.959076	1.220933	0.045237	221
1195.306104	152.170227	1.223042	0.044621	223
1197.328092	152.339279	1.223503	0.044671	225
1199.349503	152.474670	1.221244	0.044909	227
1201.371277	152.666382	1.215809	0.045606	229
1203.394240	152.850143	1.208960	0.046253	231
1205.418199	152.967285	1.203838	0.046586	233
1207.443193	153.056885	1.201035	0.047255	235
1209.468783	153.165909	1.196803	0.047582	237
1211.494806	153.310593	1.195549	0.047684	239
1213.521161	153.440948	1.194181	0.047760	241
1215.548368	153.552460	1.192809	0.047639	243
1217.576280	153.573013	1.192083	0.047143	245
1219.605461	153.443619	1.191409	0.046670	247
1221.636294	153.125717	1.191845	0.045935	249
1223.667454	152.677078	1.190331	0.046327	251
1225.698524	152.142441	1.188801	0.046957	253
1227.728483	151.640610	1.185858	0.047821	255
1229.757098	151.253479	1.182512	0.048897	1
1231.785754	151.099930	1.181026	0.049488	3
1233.812441	151.078888	1.178469	0.050027	5
1235.839139	151.120605	1.177244	0.050611	7
1237.865184	151.205704	1.174574	0.050909	9
1239.891600	151.337067	1.173438	0.050657	11
1241.918137	151.452148	1.171651	0.050872	13
1243.944755	151.581497	1.169473	0.050930	15
1245.971377	151.743484	1.167478	0.050780	17
1247.997500	151.904160	1.165763	0.050727	19
1250.023464	152.087326	1.165684	0.050402	21
1252.047616	152.298645	1.166104	0.050516	23
1254.071452	152.598358	1.168074	0.050171	25
1256.093613	152.845215	1.169339	0.050036	27
1258.115619	153.115356	1.168402	0.050163	29
1260.137508	153.301865	1.165363	0.050279	31
1262.159638	153.449280	1.160149	0.051086	33
1264.183223	153.549423	1.154891	0.051576	35
1266.206899	153.697372	1.150484	0.052421	37
1268.232692	153.824280	1.145963	0.053017	39
1270.258743	153.928528	1.142505	0.053224	41
1272.285010	154.053101	1.140454	0.052846	43
1274.312499	154.142288	1.139163	0.052530	45
1276.340467	154.167374	1.138518	0.052118	47
1278.368777	154.093414	1.138038	0.051577	49
1280.398821	153.869904	1.138264	0.051395	51
1282.429280	153.435623	1.138431	0.051134	53
1284.460411	152.927048	1.137707	0.051494	55
1286.490902	152.453125	1.136617	0.051813	57
1288.520850	152.052826	1.134028	0.052648	59
1290.549120	151.796616	1.132121	0.053396	61
1292.576421	151.675323	1.130219	0.053968	63
1294.603569	151.655228	1.127590	0.054214	65
1296.629768	151.705048	1.125038	0.054344	67
1298.656173	151.826721	1.123411	0.054533	69
1300.682581	151.937363	1.121048	0.054691	71
1302.708734	152.057709	1.119613	0.054565	73
1304.735264	152.209000	1.118301	0.054541	75
1306.761236	152.393875	1.117648	0.054288	77
1308.786994	152.606949	1.117784	0.053709	79
1310.811078	152.829422	1.118252	0.053580	81
1312.835186	153.091095	1.119547	0.053247	83
1314.857257	153.355408	1.120420	0.053288	85
1316.879269	153.575302	1.119859	0.053432	87
