time (s)	magX	magY	magZ
3553.086387	563.296326	-162.653427	-1101.578003
3553.089815	567.679749	-164.406769	-1085.564087
3553.093101	572.706055	-165.166565	-1070.309692
3553.096841	577.147888	-167.036819	-1054.529419
3553.100200	579.836365	-168.439514	-1040.268799
3553.103491	583.576843	-169.257751	-1024.722412
3553.106870	585.096436	-170.835770	-1009.468201
3553.110149	588.310913	-172.121567	-995.499695
3553.113544	590.298096	-173.056702	-981.414429
3553.116850	592.402100	-173.758041	-967.445923
3553.120187	595.090576	-175.043839	-953.535950
3553.123475	596.434814	-175.803619	-938.398560
3553.126855	597.428406	-177.790756	-924.839294
3553.130237	598.597290	-178.141434	-911.104614
3553.134010	600.759766	-179.310349	-898.129761
3553.137367	601.168945	-180.245468	-884.102844
3553.140693	603.039185	-180.303925	-870.777344
3553.144033	600.993591	-181.239044	-856.984253
3553.147358	601.811768	-181.706604	-844.126221
3553.150694	602.396240	-182.115723	-830.859192
3553.154027	603.039185	-182.115723	-816.130920
3553.157388	602.863831	-182.466400	-802.805420
3553.160691	602.922241	-182.232620	-789.479858
3553.164033	601.870239	-182.349503	-775.978943
3553.167362	601.519592	-182.174164	-762.887207
3553.171118	601.461121	-181.706604	-750.263000
3553.174444	600.292236	-180.537704	-737.872620
3553.177803	599.707764	-179.544128	-723.962585
3553.181143	599.532410	-178.842789	-712.215088
3553.184467	598.188232	-178.492111	-699.883118
3553.187848	597.603760	-177.381653	-688.369385
3553.191117	596.201050	-176.271194	-675.862061
3553.194463	594.739929	-175.511398	-664.874390
3553.197782	593.804810	-174.634720	-653.594421
3553.201141	591.466980	-173.758041	-641.788452
3553.204892	590.824097	-172.530685	-629.807129
3553.208227	588.661621	-171.186432	-619.812988
3553.211626	587.726501	-171.011108	-609.585022
3553.214952	586.323792	-169.900650	-600.233765
3553.218291	584.862671	-169.140854	-590.239624
3553.221539	581.765015	-168.497955	-580.771484
3553.224885	581.180542	-167.445938	-572.121582
3553.228196	578.667480	-166.218597	-564.582092
3553.231568	576.855652	-166.218597	-556.165955
3553.234883	574.985413	-165.225021	-547.516052
3553.238280	572.764465	-164.932785	-540.151978
3553.241616	570.543518	-164.582123	-532.261841
3553.245047	568.907043	-163.822327	-526.300415
3553.248618	566.569275	-163.179428	-519.170105
3553.251980	565.400391	-163.413208	-512.974854
3553.255391	563.179443	-163.179428	-506.019867
3553.258734	561.075378	-162.419647	-498.889526
3553.262086	558.912903	-162.127411	-493.103455
3553.265390	557.159546	-161.952072	-486.908234
3553.268741	555.639954	-161.776733	-481.589691
3553.272040	552.016357	-161.601395	-473.816498
3553.275387	551.431885	-160.724716	-468.556396
3553.278763	549.678589	-160.607834	-463.179443
3553.282498	546.931580	-160.490936	-456.867310
3553.285871	545.119812	-159.848053	-451.315033
3553.289185	543.308044	-159.322037	-446.054932
3553.292524	541.613098	-158.912918	-440.151978
3553.295851	540.327332	-158.211578	-434.716553
3553.299167	537.931030	-157.393341	-429.514893
3553.302506	535.768555	-156.399765	-425.891296
3553.305812	534.015198	-155.464630	-418.527161
3553.309135	531.911194	-154.646408	-413.384003
3553.312906	530.976074	-153.828171	-409.175934
3553.316234	528.872009	-152.776154	-404.032715
3553.319622	528.053772	-151.607254	-398.947968
3553.322913	525.832825	-150.379898	-393.687897
3553.326196	525.189941	-149.210983	-389.129150
3553.329586	522.442993	-148.860306	-384.395111
3553.332904	521.683228	-147.749847	-380.303894
3553.336243	519.754578	-146.814728	-377.147858
3553.339569	517.533569	-145.879608	-372.472229
3553.342879	516.773804	-145.470490	-369.491516
3553.346691	516.832275	-144.243134	-366.277039
3553.349996	515.312683	-143.541794	-363.880768
3553.353387	514.026855	-142.781998	-361.426056
3553.356656	512.448853	-141.613083	-358.328461
3553.359976	512.156616	-141.496201	-354.997101
3553.363266	511.163055	-140.444183	-352.834595
3553.366582	510.111053	-140.210403	-351.957916
3553.369905	508.942139	-139.392166	-349.327881
3553.373644	508.708344	-138.457047	-348.042084
3553.377340	507.656342	-139.216827	-346.405609
3553.380701	507.422546	-138.749268	-346.113403
3553.384006	507.130341	-138.398605	-344.476929
3553.387334	506.545868	-138.281708	-343.541779
3553.390667	506.312073	-138.632385	-343.424896
3553.394018	505.376953	-137.872589	-341.379303
3553.397334	505.260071	-138.515488	-341.203979
3553.400673	504.734100	-137.989487	-341.437744
3553.404002	504.558746	-137.638809	-340.619507
3553.407328	504.383423	-137.755707	-340.268860
3553.410673	504.149628	-137.931030	-337.989471
3553.414004	504.149628	-137.931030	-338.457031
3553.417334	502.980713	-137.346573	-338.340149
3553.420659	503.214508	-137.054367	-337.521912
3553.424007	502.396240	-136.703674	-337.288147
3553.427333	503.097595	-136.119217	-336.236115
3553.430681	502.688507	-136.469894	-336.528351
3553.434420	504.149628	-136.002335	-335.826996
3553.437761	502.454712	-135.008759	-335.885468
3553.441113	503.974304	-134.716537	-335.417877
3553.444422	503.623627	-134.658096	-334.774994
3553.447756	503.039185	-134.132080	-334.073639
3553.451087	503.506714	-133.839859	-335.242554
3553.454417	504.032715	-132.904739	-334.599640
3553.457768	503.798950	-132.670944	-334.541199
3553.461132	505.084747	-131.794281	-334.658112
3553.464440	505.201630	-130.917603	-334.716522
3553.468175	506.136749	-130.274689	-335.359436
3553.471510	506.253662	-129.748688	-336.879028
3553.474836	506.838074	-128.579788	-336.762115
3553.478194	508.182343	-128.287552	-338.164795
3553.481539	508.708344	-127.527763	-340.385742
3553.484937	509.292786	-127.469315	-340.970184
3553.488261	510.753967	-127.293983	-342.898895
3553.491568	510.520172	-126.943298	-344.476929
3553.494836	512.799561	-126.709518	-347.457611
3553.498172	514.085327	-126.358856	-349.152527
3553.501559	515.371155	-126.008179	-352.308594
3553.504905	516.715393	-125.891289	-355.639984
3553.508680	517.650513	-126.125076	-357.218018
3553.512050	519.637634	-125.715958	-361.133850
3553.515354	521.098755	-125.657509	-364.231445
3553.518704	523.027466	-125.774399	-367.504395
3553.522019	524.313232	-126.008179	-371.361786
3553.525392	525.482178	-125.891289	-374.693146
3553.528719	528.287537	-126.008179	-377.907654
3553.532061	528.521362	-126.008179	-382.349518
3553.535390	531.502075	-126.183525	-386.849792
3553.538766	532.261841	-126.651085	-390.531860
3553.542074	534.599609	-126.183525	-394.564575
3553.545441	536.002319	-126.884865	-398.363525
3553.548811	538.223267	-127.118645	-403.097595
3553.552565	539.275269	-127.469315	-407.948578
3553.555920	541.320862	-126.826416	-411.572174
3553.559281	543.424866	-125.949738	-416.773804
3553.562576	546.230286	-126.417305	-420.397430
3553.565957	548.158997	-126.300407	-425.014587
3553.569263	549.737000	-125.891289	-429.339539
3553.572620	551.256592	-125.891289	-433.489166
3553.575890	554.295715	-125.657509	-438.047943
3553.579190	555.815308	-124.897720	-444.009338
3553.582977	557.217957	-124.663940	-448.042053
3553.586304	559.731140	-123.495033	-452.893066
3553.589734	561.835205	-123.553482	-457.627106
3553.593043	564.406799	-122.326126	-463.120972
3553.596380	566.803040	-121.917007	-468.030396
3553.599792	568.731750	-120.689651	-473.641144
3553.603094	571.361755	-120.163643	-479.661041
3553.606415	573.232056	-118.994736	-486.557587
3553.609777	576.095886	-118.059608	-493.103455
3553.613137	578.550598	-117.299820	-499.473999
3553.616497	580.479248	-116.481590	-505.201630
3553.619783	582.875488	-115.604912	-512.331970
3553.623098	585.563965	-114.962006	-520.397400
3553.626485	587.317383	-113.676216	-527.293945
3553.630308	589.655151	-113.500885	-535.943909
3553.633976	592.343689	-112.565758	-545.587402
3553.637313	594.623047	-112.215080	-553.652832
3553.640675	597.603760	-111.747513	-562.594971
3553.643977	599.415527	-110.929283	-572.121582
3553.647307	602.746887	-110.403275	-582.115723
3553.650641	605.376953	-109.994164	-591.466980
3553.653987	606.195190	-109.526596	-601.461121
