crossing time (s)	slope (V/s)	crossing number
3552.926870	3.497535	2416
3553.932533	3.395727	2417
3554.936773	3.252673	2418
3555.969713	3.245034	2419
3556.969565	3.062947	2420
3558.011434	2.841894	2421
3559.004987	2.421758	2422
3560.050945	3.332877	2423
3561.029815	2.588575	2424
3562.075556	3.360579	2425
3563.064470	2.750287	2426
3564.111549	3.735041	2427
3565.099063	3.101860	2428
3566.147005	3.869205	2429
3567.136595	3.384945	2430
3568.179957	3.563124	2431
3569.163397	3.144173	2432
3570.212332	3.735355	2433
3571.195203	3.209401	2434
3572.240582	4.035712	2435
3573.230596	3.125244	2436
3574.258359	5.020955	2437
3575.269166	3.896688	2438
3576.281255	5.373532	2439
3577.319498	5.971842	2440
3578.304492	5.578711	2441
3579.357281	6.735649	2442
3580.328156	5.662379	2443
3581.385151	6.541632	2444
3582.366529	7.041744	2445
3583.406582	6.010268	2446
3584.409214	5.510666	2447
3585.420332	5.390585	2448
3586.448675	5.046949	2449
3587.444122	4.918660	2450
3588.482196	5.514940	2451
3589.479575	5.156988	2452
3590.500172	6.024569	2453
3591.517667	6.208078	2454
3592.517022	6.099566	2455
3593.556467	6.381398	2456
3594.537178	6.498795	2457
3595.590582	6.092214	2458
3596.566704	7.129332	2459
3597.620099	5.695604	2460
3598.593828	6.514975	2461
3599.644865	5.622180	2462
3600.628262	6.127431	2463
3601.671277	5.837406	2464
3602.659342	6.148734	2465
3603.695452	5.922375	2466
3604.691328	6.258779	2467
3605.727060	5.984614	2468
3606.717403	5.912939	2469
3607.756049	6.054784	2470
3608.745313	6.676110	2471
3609.786238	5.827190	2472
3610.768253	6.545256	2473
3611.818231	6.545228	2474
3612.797309	6.711449	2475
3613.849387	6.963705	2476
3614.825894	7.030891	2477
3615.874000	7.006814	2478
3616.858139	7.976086	2479
3617.896280	6.885989	2480
3618.891956	7.438877	2481
3619.914059	6.971581	2482
3620.929728	7.205704	2483
3621.932773	6.695069	2484
3622.965096	6.729280	2485
3623.956518	6.540213	2486
3624.991042	6.972870	2487
3625.990564	6.761917	2488
3627.011037	7.456994	2489
3628.030680	8.131188	2490
3629.028622	7.857372	2491
3630.064692	8.202942	2492
3631.047232	8.602098	2493
3632.096609	7.078890	2494
3633.073212	8.405451	2495
3634.122304	6.994958	2496
3635.105553	7.448975	2497
3636.146751	7.394942	2498
3637.140685	7.219227	2499
3638.171056	7.893665	2500
3639.173699	7.909972	2501
3640.194047	7.970667	2502
3641.200995	8.315352	2503
3642.222055	7.665813	2504
3643.227819	8.402972	2505
3644.250201	7.376576	2506
3645.255986	8.186040	2507
3646.279690	7.674297	2508
3647.278100	8.383582	2509
3648.311682	8.163041	2510
3649.301866	8.613692	2511
3650.344167	8.376491	2512
3651.326668	8.783055	2513
3652.373310	8.053779	2514
