time (s)	coil I (A)	last det (V)	int current (uC)
8295.243296	1.163200	0.396813	588.578979
8295.244233	1.561842	0.396813	2052.024902
8295.245154	1.544806	0.396813	3474.791016
8295.246036	1.505240	0.396813	4802.413086
8295.246988	1.462877	0.396813	6195.072266
8295.247947	1.423114	0.396813	7559.838379
8295.248840	1.386834	0.396813	8798.281250
8295.249758	1.076104	0.396813	9786.144531
8295.250707	0.123534	0.396813	9903.377930
8295.251650	0.089864	0.396813	9988.120117
8295.252542	0.089938	0.396813	10068.344727
8295.253531	0.090015	0.396813	10157.369141
8295.254560	0.089846	0.396813	10249.821289
8295.255508	0.089839	0.396813	10334.988281
8295.256367	0.089832	0.396813	10412.153320
8295.257407	0.090018	0.396813	10505.772461
8295.258430	0.089908	0.396813	10597.749023
8295.259308	0.090015	0.396813	10676.782227
8296.246252	1.083666	0.437480	495.235229
8296.247161	1.557942	0.437480	1911.404419
8296.248032	1.550259	0.437480	3261.679932
8296.248918	1.511199	0.437480	4600.602051
8296.249856	1.467964	0.437480	5977.552246
8296.250819	1.428164	0.437480	7352.874023
8296.251707	1.392092	0.437480	8589.051758
8296.252627	1.190065	0.437480	9683.911133
8296.253587	0.165677	0.437480	9842.961914
8296.254511	0.089846	0.437480	9925.979492
8296.255377	0.089883	0.437480	10003.818359
8296.256342	0.089949	0.437480	10090.619141
8296.257284	0.089919	0.437480	10175.323242
8296.258190	0.089864	0.437480	10256.740234
8296.259049	0.089824	0.437480	10333.899414
8296.260014	0.089846	0.437480	10420.600586
8296.260958	0.089864	0.437480	10505.432617
8296.261846	0.089883	0.437480	10585.249023
8297.279480	1.102390	0.411847	522.532959
8297.280374	1.558499	0.411847	1915.830688
8297.281254	1.550131	0.411847	3279.945801
8297.282182	1.510038	0.411847	4681.260742
8297.283129	1.466854	0.411847	6070.371582
8297.284052	1.427596	0.411847	7388.042969
8297.284934	1.391587	0.411847	8615.422852
8297.285851	1.165550	0.411847	9684.232422
8297.286814	0.153149	0.411847	9831.714844
8297.287736	0.089846	0.411847	9914.552734
8297.288600	0.089872	0.411847	9992.202148
8297.289571	0.089993	0.411847	10079.584961
8297.290517	0.089835	0.411847	10164.569336
8297.291409	0.089879	0.411847	10244.741211
8297.292337	0.089872	0.411847	10328.142578
8297.293290	0.089875	0.411847	10413.793945
8297.294203	0.089839	0.411847	10495.816406
8297.295081	0.089839	0.411847	10574.695312
8298.281459	1.070717	0.477968	510.731842
8298.282386	1.560351	0.477968	1957.177612
8298.283312	1.546359	0.477968	3389.105713
8298.284192	1.507928	0.477968	4716.083008
8298.285120	1.465756	0.477968	6076.304199
8298.286084	1.425813	0.477968	7450.788086
8298.286988	1.388309	0.477968	8705.819336
8298.287871	1.149628	0.477968	9720.940430
8298.288821	0.152728	0.477968	9866.032227
8298.289770	0.089773	0.477968	9951.226562
8298.290654	0.089901	0.477968	10030.699219
8298.291542	0.089879	0.477968	10110.511719
8298.292478	0.089828	0.477968	10194.590820
8298.293425	0.089886	0.477968	10279.712891
8298.294324	0.089886	0.477968	10360.520508
8298.295254	0.089839	0.477968	10444.070312
8298.296207	0.089897	0.477968	10529.742187
8298.297113	0.089908	0.477968	10611.199219
8299.309508	1.063370	0.449931	459.375977
8299.310379	1.554613	0.449931	1813.443848
8299.311358	1.549512	0.449931	3330.415771
8299.312289	1.508236	0.449931	4734.583496
8299.313210	1.466928	0.449931	6085.624023
8299.314074	1.429797	0.449931	7320.968750
8299.314991	1.391070	0.449931	8596.580078
8299.315962	1.127853	0.449931	9691.724609
8299.316891	0.152120	0.449931	9833.044922
8299.317752	0.089784	0.449931	9910.348633
8299.318720	0.090029	0.449931	9997.497070
8299.319674	0.089828	0.449931	10083.193359
8299.320566	0.089982	0.449931	10163.457031
8299.321476	0.089938	0.449931	10245.300781
8299.322408	0.089780	0.449931	10328.975586
8299.323340	0.089941	0.449931	10412.800781
8299.324212	0.090000	0.449931	10491.281250
8299.325115	0.089897	0.449931	10572.458984
