crossing time (s)	slope (V/s)	crossing number
8285.861820	2.263771	5867
8286.884375	2.336221	5868
8287.889861	2.369314	5869
8288.911512	2.309338	5870
8289.909400	2.185877	5871
8290.938372	2.424070	5872
8291.938905	2.208580	5873
8292.964704	2.198087	5874
8293.970480	2.272897	5875
8294.994522	2.133347	5876
8295.997432	2.242426	5877
8297.030048	2.575397	5878
8298.040047	2.206321	5879
8299.065563	2.387462	5880
8300.084910	1.922437	5881
8301.101468	1.755098	5882
8302.126143	1.658257	5883
8303.143276	1.498966	5884
8304.145132	3.204588	5885
8305.188175	0.562711	5886
8306.162953	4.522434	5887
8307.231634	0.596884	5888
8308.192247	5.147218	5889
8309.220402	4.357353	5890
8310.223238	4.866321	5891
8311.248020	4.232688	5892
8312.266484	3.880297	5893
8313.283463	3.542419	5894
8314.313805	2.202453	5895
8315.317371	2.617470	5896
8316.333072	1.965257	5897
8317.338937	2.619480	5898
8318.360639	2.620653	5899
8319.362772	2.992307	5900
8320.397584	3.671295	5901
8321.393309	3.804009	5902
8322.429400	3.688766	5903
8323.424689	4.270475	5904
8324.461528	3.285203	5905
8325.456438	4.177352	5906
8326.492830	3.075943	5907
8327.490984	3.607148	5908
8328.518225	3.106963	5909
8329.526676	2.620275	5910
8330.544628	3.275185	5911
8331.552021	2.445866	5912
8332.573687	3.408531	5913
8333.580832	2.745467	5914
8334.603491	3.662888	5915
8335.610711	3.353954	5916
8336.633412	4.022319	5917
8337.641425	3.837019	5918
8338.664271	4.029548	5919
8339.670770	3.999175	5920
8340.693869	3.779386	5921
8341.699369	4.047028	5922
8342.725885	3.629902	5923
8343.727056	4.310068	5924
8344.756694	3.892175	5925
8345.754878	4.419244	5926
8346.785721	4.255309	5927
8347.784535	4.522589	5928
8348.813693	4.251508	5929
8349.814909	4.595293	5930
8350.840866	3.984017	5931
8351.846276	4.682296	5932
8352.869363	4.060409	5933
8353.876499	4.515566	5934
8354.895452	4.340191	5935
8355.905032	4.595548	5936
8356.922018	4.503106	5937
8357.936030	4.509696	5938
8358.949358	4.844637	5939
8359.966372	4.992489	5940
8360.977472	5.466100	5941
8361.996352	5.361685	5942
8363.002268	5.817161	5943
8364.026329	5.213171	5944
8365.031728	5.875276	5945
8366.052018	5.068838	5946
8367.060568	5.576853	5947
8368.082125	4.969261	5948
8369.087451	5.910391	5949
8370.111808	5.124238	5950
8371.113291	6.109039	5951
8372.137597	5.288379	5952
8373.142445	6.096001	5953
8374.166361	5.041671	5954
8375.171360	6.500454	5955
8376.196253	5.454760	5956
8377.198240	6.647112	5957
8378.217494	5.910819	5958
8379.226008	6.825630	5959
8380.246159	5.964507	5960
8381.255754	6.323066	5961
8382.275690	5.453483	5962
8383.290091	5.230972	5963
8384.302501	5.208078	5964
8385.321354	4.618216	5965
8386.328813	5.097639	5966
8387.349943	4.425793	5967
8388.354040	4.796641	5968
8389.379633	4.712261	5969
8390.382322	4.850936	5970
8391.407707	5.329291	5971
8392.411601	5.645812	5972
8393.436099	5.973771	5973
8394.437975	6.491424	5974
8395.464521	6.192249	5975
8396.465753	6.644074	5976
8397.490243	5.946556	5977
8398.490081	6.449818	5978
8399.519739	5.494948	5979
8400.518974	6.163451	5980
8401.545751	5.294374	5981
8402.548466	5.777498	5982
8403.572242	5.420146	5983
8404.576135	5.293362	5984
8405.600158	5.260863	5985
8406.606419	4.977506	5986
8407.628241	5.154778	5987
8408.635447	4.984494	5988
8409.655750	5.336516	5989
8410.661242	5.241308	5990
8411.685297	5.391590	5991
8412.688135	5.217536	5992
8413.712731	5.228167	5993
8414.714737	5.229497	5994
8415.740462	5.066018	5995
8416.740380	5.462900	5996
8417.769385	5.214407	5997
8418.769885	5.514527	5998
8419.794687	5.288897	5999
8420.797287	5.519222	6000
8421.822213	5.229118	6001
8422.825976	5.665451	6002
8423.848820	5.373085	6003
8424.856050	5.869106	6004
8425.875065	5.805293	6005
8426.883744	5.970794	6006
8427.901229	5.830394	6007
8428.911929	5.982367	6008
8429.925319	6.020081	6009
8430.941822	6.033208	6010
8431.953343	6.186605	6011
8432.969779	6.106135	6012
8433.979794	6.284627	6013
8434.997781	5.984714	6014
8436.007461	6.160181	6015
8437.026863	5.710241	6016
8438.032371	6.022753	6017
8439.052937	5.623561	6018
8440.061090	6.042914	6019
